date,Assegnazione in corso,Belluno,Cluster domiciliati Comune di Vò,Domicilio fuori Veneto,Padova,Rovigo,Treviso,Veneto,Venezia,Verona,Vicenza
20200306,0,0,0,0,0,0,0,0,0,0,0
20200307,0,0,0,0,0,0,0,0,0,0,0
20200308,0,0,0,0,0,0,0,0,0,0,0
20200309,0,0,0,0,0,0,0,0,0,0,0
20200310,0,0,0,0,0,0,0,0,0,0,0
20200311,0,0,0,0,0,0,0,0,0,0,0
20200312,0,0,0,0,0,0,0,0,0,0,0
20200313,0,0,0,0,0,0,0,0,0,0,0
20200314,0,0,0,0,0,0,0,0,0,0,0
20200315,0,0,0,0,0,0,0,0,0,0,0
20200316,0,0,0,0,0,0,0,0,0,0,0
20200317,0,343,182,0,1871,405,1268,8658,1777,1725,1087
20200318,0,471,52,0,1995,465,1410,9419,1853,1811,1362
20200319,0,447,52,0,2308,474,1549,10124,2023,1720,1551
20200320,0,610,52,0,2443,468,1685,12432,2649,2531,1994
20200321,0,689,52,0,2669,483,1775,13589,3120,2619,2182
20200322,0,736,52,0,2669,591,1856,14268,3339,2767,2258
20200323,0,1043,52,0,2669,675,2019,15376,3489,2965,2464
20200324,0,1080,51,0,2744,788,2286,16220,3753,3220,2298
20200325,0,1149,0,0,3270,890,2376,17159,3905,3266,2303
20200326,0,1101,0,0,3270,1016,2243,17457,4053,3466,2308
20200327,0,1170,0,0,3270,1076,3156,18895,4174,3641,2408
