date,Belluno,Padova,Rovigo,Treviso,Venezia,Verona,Vicenza,Cluster domiciliati Comune di Vò,Domicilio fuori Veneto,Assegnazione in corso,Veneto
20200309,27,186,6,142,145,87,56,88,5,29,771
20200310,29,241,10,158,160,106,75,89,5,40,913
20200311,30,284,14,185,179,110,92,89,5,35,1023
20200312,52,420,13,310,220,170,123,85,20,45,1458
20200313,66,450,16,338,256,239,143,82,26,57,1673
20200314,78,538,27,392,296,281,220,82,32,48,1994
20200315,82,592,27,425,328,364,253,82,32,61,2246
20200316,106,652,28,466,359,438,292,82,34,84,2541
20200317,116,723,28,543,402,547,370,82,46,66,2923
20200318,150,816,52,617,451,663,420,82,49,84,3384
20200319,168,901,56,670,501,718,455,82,53,147,3751
20200320,197,971,62,768,611,827,517,83,50,151,4237
20200321,216,1120,68,864,685,993,594,83,80,106,4809
20200322,245,1225,76,979,733,1069,652,83,91,119,5272
20200323,262,1312,80,1013,807,1147,720,83,101,113,5638
20200324,280,1415,83,1102,840,1236,783,83,102,145,6069
20200325,306,1600,105,1188,880,1317,856,84,128,118,6582
