date,Azienda Ospedale Università Padova,Azienda Ospedale Università Padova- Ospedale S. Antonio,Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Roma,Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Trento,Casa di Cura Rizzola,Casa di Cura Villa Maria - Padova,Casa di Cura Villa Maria ODC - Padova,Centro Servizi Casa Luigi e Augusta - Ormelle,Centro Servizi Civitas Vitae - Vedelago,IRCCS - IOV,Ospedale Cinto Caomaggiore (VE),Ospedale Comunità Camposampiero,Ospedale Comunità Casa di Cura Rizzola,Ospedale Comunità Marostica,Ospedale Comunità SS. Giovanni e Paolo (VE),Ospedale Comunità Vittorio Veneto,Ospedale Comunità c/o Ospedale Adria,Ospedale Comunità di Castelfranco,Ospedale P. Pederzoli-Peschiera,Ospedale S. Camillo-Treviso,Ospedale Sacro Cuore Don Calabria-Negrar,Ospedale Villa Salus-Mestre,Ospedale civ. Motta di Livenza - Treviso,ULSS 1 - Ospedale Agordo,ULSS 1 - Ospedale Belluno,ULSS 1 - Ospedale Comunità Agordo,ULSS 1 - Ospedale Comunità Belluno,ULSS 1 - Ospedale Feltre,ULSS 2 - Ospedale Castelfranco,ULSS 2 - Ospedale Conegliano,ULSS 2 - Ospedale Montebelluna,ULSS 2 - Ospedale Oderzo,ULSS 2 - Ospedale Treviso,ULSS 2 - Ospedale Vittorio Veneto,ULSS 3 - Ospedale Chioggia,ULSS 3 - Ospedale Dolo,ULSS 3 - Ospedale Mestre,ULSS 3 - Ospedale Mirano,ULSS 3 - Ospedale Venezia,ULSS 4 - Ospedale Jesolo,ULSS 4 - Ospedale Portogruaro,ULSS 4 - Ospedale San Donà di Piave,ULSS 5 - Ospedale Adria,ULSS 5 - Ospedale Rovigo,ULSS 5 - Ospedale Trecenta,ULSS 6 - Ospedale Camposampiero,ULSS 6 - Ospedale Cittadella,ULSS 6 - Ospedale Conselve,ULSS 6 - Ospedale Piove di Sacco,ULSS 6 - Ospedale Schiavonia,ULSS 7 - Ospedale Asiago,ULSS 7 - Ospedale Bassano,ULSS 7 - Ospedale Santorso,ULSS 8 - Ospedale Arzignano,ULSS 8 - Ospedale Lonigo,ULSS 8 - Ospedale Noventa Vicentina,ULSS 8 - Ospedale Valdagno,ULSS 8 - Ospedale Vicenza,ULSS 9 - Ospedale Bovolone,ULSS 9 - Ospedale Bussolengo,ULSS 9 - Ospedale Legnago,ULSS 9 - Ospedale Malcesine,ULSS 9 - Ospedale Marzana,ULSS 9 - Ospedale San Bonifacio,ULSS 9 - Ospedale Villafranca,Veneto
20200306,38,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,22,3,11,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,3,0,0,0,0,155
20200307,42,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,1,2,0,0,57,1,0,0,23,5,11,0,0,0,0,5,0,0,0,0,3,0,0,0,6,0,0,0,0,10,0,0,3,0,0,0,0,188
20200308,49,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,1,2,4,0,0,67,1,1,0,29,6,11,0,0,0,0,4,0,0,0,0,5,0,0,1,5,0,0,0,0,10,0,0,3,0,0,0,1,221
20200309,35,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,1,5,1,0,0,63,1,1,2,21,2,8,0,0,0,0,4,0,0,0,0,4,0,0,1,2,0,0,0,0,5,0,0,4,0,0,0,3,203
20200310,34,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,8,0,0,1,5,4,0,0,70,4,1,2,19,5,8,0,0,0,0,4,0,0,0,0,4,18,0,2,2,0,0,0,0,7,0,0,5,0,0,0,3,233
20200311,42,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,8,0,0,1,5,4,0,0,70,4,1,2,19,5,8,1,0,0,0,4,0,0,4,0,4,21,0,2,6,1,0,0,0,10,0,0,5,0,0,0,3,262
20200312,45,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,15,0,0,0,10,0,0,5,4,14,2,0,55,7,1,6,33,16,10,5,0,0,0,5,0,0,10,0,6,37,0,3,9,0,0,0,0,13,0,0,7,0,0,0,3,357
20200313,43,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,20,0,0,0,11,0,0,5,5,5,0,0,78,3,2,13,20,11,9,6,0,0,0,5,0,0,6,0,2,32,0,4,10,0,0,0,0,11,0,0,9,0,0,0,5,350
20200314,45,0,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,33,0,0,0,15,0,0,6,7,5,0,0,56,2,1,17,32,12,9,8,0,0,1,4,0,0,8,0,4,48,16,9,11,0,0,0,0,11,0,0,8,0,0,2,6,416
20200315,51,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,49,0,0,0,17,0,0,9,7,4,0,1,70,2,1,21,33,12,10,7,0,0,1,5,0,0,13,0,13,49,14,12,11,0,0,0,1,13,0,0,8,0,0,2,5,487
