date,Azienda Ospedale Università Padova,Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Roma,Azienda Ospedaliera Universitaria Integrata di Verona - Borgo Trento,ULSS 1 - Ospedale Belluno,ULSS 1 - Ospedale Feltre,ULSS 2 - Ospedale Treviso,ULSS 2 - Ospedale Conegliano,ULSS 2 - Ospedale Vittorio Veneto,ULSS 2 - Ospedale Castelfranco,ULSS 3 - Ospedale Mestre,ULSS 3 - Ospedale Venezia,ULSS 3 - Ospedale Mirano,ULSS 3 - Ospedale Dolo,ULSS 3 - Ospedale Chioggia,ULSS 5 - Ospedale Rovigo,ULSS 6 - Ospedale Schiavonia,ULSS 6 - Ospedale Piove di Sacco,ULSS 7 - Ospedale Santorso,ULSS 7 - Ospedale Bassano,ULSS 8 - Ospedale Vicenza,ULSS 9 - Ospedale Legnago,ULSS 9 - Ospedale Villafranca,Ospedale Sacro Cuore Don Calabria-Negrar,ULSS 4 - Ospedale Jesolo,ULSS 6 - Ospedale Cittadella,ULSS 8 - Ospedale Arzignano,Ospedale P. Pederzoli-Peschiera,ULSS 2 - Ospedale Montebelluna,ULSS 4 - Ospedale San Dona' di Piave,ULSS 5 - Ospedale Trecenta,ULSS 5 - Ospedale Adria,ULSS 7 - Ospedale Asiago,ULSS 9 - Ospedale San Bonifacio,ULSS 2 - Ospedale Oderzo,ULSS 8 - Ospedale Valdagno,ULSS 8 - Ospedale Noventa Vicentina,ULSS 1 - Ospedale Agordo,Ospedale Villa Salus-Mestre,ULSS 8 - Ospedale Lonigo,Azienda Ospedale Università Padova- Ospedale S. Antonio,ULSS 6 - Ospedale Camposampiero,Ospedale S. Camillo-Treviso,IRCCS - IOV,Veneto
20200309,16,2,1,0,0,5,8,0,0,10,3,5,0,0,1,0,1,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
20200310,17,2,2,0,0,7,8,0,0,11,3,5,0,0,1,0,1,0,0,8,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
20200311,15,3,1,0,0,7,8,0,0,11,3,5,0,0,1,1,1,0,0,7,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
20200312,22,9,3,0,0,7,8,0,0,14,5,9,0,0,1,5,1,0,0,8,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101
20200313,22,10,2,0,0,9,10,0,0,12,4,9,0,0,0,6,1,0,0,12,3,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,108
20200314,21,10,2,1,0,14,10,0,0,12,4,11,0,0,0,7,1,0,1,15,4,0,3,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,125
20200315,22,11,2,2,0,13,11,0,0,13,4,12,0,0,0,8,1,0,1,16,4,0,6,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,136
20200316,22,14,12,4,0,13,11,0,0,10,4,14,2,0,0,9,2,0,1,19,5,0,9,8,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,163
20200317,24,14,14,4,0,16,10,0,0,10,5,14,3,0,0,12,2,0,2,19,7,0,9,8,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,177
20200318,27,14,19,4,0,15,11,0,0,10,5,14,6,0,0,13,3,0,3,22,8,0,7,12,0,0,2,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,201
20200319,29,15,24,5,0,17,11,0,0,10,5,14,8,2,0,18,3,1,4,22,8,5,7,11,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,224
20200320,31,18,26,5,0,18,11,0,0,12,6,14,7,0,0,19,2,2,6,22,8,8,8,13,0,0,2,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,246
20200321,32,18,28,4,0,22,11,0,0,12,7,14,8,0,0,18,1,2,6,20,8,11,9,13,0,0,5,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,257
20200322,33,18,32,4,0,20,11,0,0,13,7,14,8,0,0,20,0,5,6,20,8,11,8,13,1,0,5,6,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,268
20200323,34,18,36,6,0,21,11,0,0,14,7,14,13,1,0,23,0,6,6,25,8,12,8,12,1,0,6,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,294
20200324,34,22,35,9,0,21,11,2,0,14,7,14,13,1,1,24,0,9,6,25,8,14,7,12,2,0,9,8,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,314
