date,Belluno,Padova,Rovigo,Treviso,Veneto,Venezia,Verona,Vicenza
20200306,0,2,0,8,12,2,0,0
20200307,0,3,0,8,15,4,0,0
20200308,0,4,0,8,19,5,2,0
20200309,0,4,0,9,21,6,2,0
20200310,0,4,0,14,26,6,2,0
20200311,0,6,0,15,29,6,2,0
20200312,0,7,0,22,40,7,3,1
20200313,0,8,0,27,50,10,3,2
20200314,1,10,0,30,60,10,7,2
20200315,2,12,0,30,66,11,8,3
20200316,4,12,0,34,76,14,8,4
20200317,4,15,0,37,89,15,11,7
20200318,5,16,1,44,113,18,18,11
20200319,5,18,1,51,130,20,21,14
20200320,5,20,1,51,140,24,25,14
20200321,6,23,2,58,164,26,27,22
20200322,7,26,2,62,186,28,38,23
20200323,7,29,2,67,210,34,47,24
20200324,7,33,2,71,237,39,52,33
20200325,8,36,2,77,273,45,69,36
20200326,10,39,2,81,308,51,79,46
20200327,10,45,2,84,342,57,95,49
20200328,13,50,2,84,378,63,110,56
20200329,13,56,2,86,402,65,121,59
20200330,15,62,2,89,436,71,129,68
20200331,16,64,2,91,465,78,143,71
20200401,19,67,4,92,489,85,149,73
20200402,23,74,4,96,525,92,163,73
20200403,26,77,5,99,562,102,175,78
20200404,26,84,5,102,583,104,182,80
20200405,26,89,5,106,605,106,186,87
20200406,27,92,6,112,633,108,197,91
20200407,28,98,8,119,665,116,204,92
20200408,30,101,9,120,684,120,212,92
20200409,30,106,11,127,717,126,219,98
20200410,31,112,12,131,748,128,229,105
20200411,31,115,16,134,771,134,236,105
20200412,32,116,18,137,786,137,241,105
20200413,33,119,17,138,810,141,250,112
20200414,33,126,19,147,836,145,253,113
20200415,36,133,20,149,860,147,257,118
20200416,37,137,21,150,888,153,268,122
20200417,37,137,21,151,896,156,270,124
20200418,37,137,21,151,896,156,270,124
20200419,41,142,21,154,937,158,289,132
20200420,44,147,21,158,959,161,295,133
20200421,44,150,24,160,992,165,309,140
20200422,45,96,24,161,953,170,315,142
20200423,47,155,24,166,1030,173,320,145
20200424,48,159,27,166,1048,178,322,148
20200425,49,162,27,167,1075,183,333,154
20200426,51,162,27,167,1094,186,343,158
20200427,52,164,27,169,1108,187,349,160
20200428,56,166,28,169,1126,190,355,162
20200429,56,169,29,169,1150,197,361,169
20200430,60,175,29,171,1178,202,366,175
20200501,60,176,29,172,1183,203,368,175
20200502,61,177,29,174,1197,206,373,177
20200503,61,178,29,174,1211,208,377,184
20200504,64,180,29,174,1230,215,380,188
20200505,68,180,29,175,1245,219,382,192
20200506,68,181,29,176,1260,224,387,195
20200507,69,181,29,176,1269,227,392,195
20200508,70,181,29,178,1281,233,394,196
20200509,72,181,29,178,1286,234,397,195
20200510,72,181,29,179,1295,236,398,200
20200511,73,183,29,179,1304,237,399,204
20200512,73,184,30,179,1313,243,400,204
20200513,73,185,31,179,1322,244,402,208
20200514,73,185,31,180,1333,249,405,210
20200515,75,185,31,182,1343,250,408,212
20200516,75,186,31,182,1351,255,408,214
20200517,75,186,31,182,1357,256,411,216
20200518,76,187,31,183,1363,257,413,216
20200519,76,187,31,183,1369,260,414,218
20200520,76,187,31,183,1373,262,415,219
20200521,76,187,31,185,1378,262,417,220
20200522,76,187,31,185,1385,262,418,226
20200523,76,188,31,185,1387,262,418,227
20200524,76,188,31,185,1388,263,418,227
20200525,77,188,31,185,1395,266,421,227
20200526,77,188,31,185,1400,268,421,230
20200527,77,189,31,185,1401,268,421,230
20200528,77,190,31,185,1408,271,423,231
20200529,77,192,31,185,1414,272,425,232
20200530,77,193,31,185,1415,272,425,232
20200531,77,193,31,185,1415,272,425,232
20200601,77,195,31,185,1417,272,425,232
20200602,77,195,31,185,1417,272,425,232
20200603,77,195,31,186,1421,272,426,234
20200604,77,195,31,186,1427,273,431,234
20200605,77,197,31,188,1436,275,433,235
20200606,77,199,31,188,1439,275,434,235
20200607,77,199,31,188,1439,275,434,235
20200608,77,201,31,188,1444,275,436,236
20200609,77,202,31,188,1446,276,436,236
20200610,77,202,31,189,1448,276,436,237
20200611,77,202,31,189,1448,276,436,237
20200612,77,203,31,189,1452,277,438,237
20200613,77,203,31,189,1452,277,438,237
20200614,77,203,31,189,1452,277,438,237
20200615,77,204,31,189,1454,277,439,237
20200616,77,207,31,189,1459,279,439,237
20200617,77,207,32,189,1463,280,440,238
20200618,77,207,32,189,1463,280,440,238
20200619,77,207,32,189,1464,280,441,238
20200620,77,207,32,189,1456,280,441,230
20200621,77,207,32,189,1464,280,441,238
20200622,77,208,32,189,1465,280,441,238
20200623,77,208,33,189,1466,280,441,238
20200624,77,208,33,189,1466,280,441,238
20200625,77,208,33,189,1467,281,441,238
20200626,77,208,33,190,1468,281,441,238
20200627,77,208,33,190,1468,281,441,238
20200628,77,208,33,190,1468,281,441,238
20200629,77,208,33,190,1468,281,441,238
20200630,77,208,33,190,1469,281,441,239
20200701,77,208,33,190,1471,281,443,239
20200702,77,208,33,190,1471,281,443,239
20200703,77,208,33,188,1469,281,443,239
20200704,77,208,33,190,1471,281,443,239
20200705,77,208,33,190,1471,281,443,239
20200706,77,209,33,190,1472,281,443,239
20200707,78,210,33,190,1474,281,443,239
20200708,78,211,33,190,1477,282,443,240
20200709,78,211,33,190,1477,282,443,240
