date,Belluno,Padova,Rovigo,Treviso,Veneto,Venezia,Verona,Vicenza
20200306,0,20,1,0,24,3,0,0
20200307,0,22,1,0,29,3,0,3
20200308,0,23,2,0,29,1,0,3
20200309,0,25,2,0,37,3,0,7
20200310,0,30,3,5,53,3,3,9
20200311,0,31,3,5,54,3,3,9
20200312,0,36,3,41,97,3,4,10
20200313,2,36,4,41,103,3,4,13
20200314,1,39,5,43,118,8,8,14
20200315,2,39,5,45,123,8,9,15
20200316,3,40,5,48,131,8,12,15
20200317,3,47,5,51,147,8,17,16
20200318,3,47,7,54,189,23,39,16
20200319,4,59,7,63,221,26,43,19
20200320,8,66,7,66,239,24,49,19
20200321,8,86,7,88,298,28,60,21
20200322,8,91,7,89,320,31,70,24
20200323,8,97,7,92,339,37,73,25
20200324,10,125,7,102,414,53,90,27
20200325,14,141,9,120,485,58,110,33
20200326,16,151,9,126,536,68,126,40
20200327,17,168,9,150,625,90,146,45
20200328,17,187,11,168,704,107,148,66
20200329,32,196,11,168,740,110,157,66
20200330,33,207,11,172,790,123,173,71
20200331,37,229,11,191,873,141,190,74
20200401,37,243,11,222,959,159,210,77
20200402,39,264,11,188,1004,174,236,92
20200403,40,280,12,209,1101,205,248,107
20200404,44,287,17,212,1151,215,259,117
20200405,48,296,17,212,1199,217,281,128
20200406,48,302,17,230,1251,229,297,128
20200407,51,322,17,240,1350,256,327,137
20200408,53,335,19,266,1453,278,354,148
20200409,60,349,20,272,1544,302,378,163
20200410,61,377,21,283,1647,333,395,177
20200411,66,388,21,283,1713,343,426,186
20200412,69,395,25,283,1767,361,442,192
20200413,71,397,25,283,1796,362,453,205
20200414,71,403,25,321,1866,369,468,209
20200415,78,419,25,327,1941,381,497,214
20200416,85,451,25,338,2034,391,517,227
20200417,85,452,25,338,2043,395,521,227
20200418,85,452,25,338,2043,395,521,227
20200419,91,473,27,355,2191,424,567,254
20200420,97,473,27,355,2222,433,574,263
20200421,97,485,27,375,2298,452,595,267
20200422,98,233,27,381,2102,466,620,277
20200423,98,506,27,409,2449,486,638,285
20200424,102,516,32,425,2509,491,654,289
20200425,103,527,35,436,2579,508,671,299
20200426,104,532,35,436,2598,508,682,301
20200427,104,533,35,436,2612,512,684,308
20200428,106,545,38,436,2659,515,699,320
20200429,108,556,38,450,2719,534,711,322
20200430,115,567,41,460,2805,556,735,331
20200501,115,569,41,461,2816,557,742,331
20200502,117,572,41,462,2846,563,748,343
20200503,117,576,41,463,2872,568,753,354
20200504,126,579,41,469,2908,571,759,363
20200505,128,586,45,474,2957,583,775,366
20200506,132,593,50,480,3008,591,785,377
20200507,133,597,51,484,3054,600,808,381
20200508,142,608,53,488,3163,614,820,438
20200509,143,611,55,488,3175,620,825,433
20200510,143,609,55,488,3197,622,833,447
20200511,144,619,57,493,3234,624,846,451
20200512,144,625,57,495,3278,638,856,463
20200513,149,630,61,495,3313,647,865,466
20200514,149,636,63,498,3355,653,881,475
20200515,152,638,66,500,3382,654,886,486
20200516,152,640,66,500,3401,656,892,495
20200517,152,640,66,500,3411,658,897,498
20200518,153,642,66,501,3426,658,904,502
20200519,153,643,67,505,3448,667,909,504
20200520,153,644,67,506,3458,671,917,500
20200521,153,646,69,515,3492,679,922,508
20200522,157,650,71,518,3515,681,924,514
20200523,157,654,71,518,3528,684,929,515
20200524,157,654,72,518,3529,684,929,515
20200525,173,655,72,522,3567,689,938,518
20200526,173,657,73,527,3591,694,945,522
20200527,173,659,73,527,3593,694,945,522
20200528,174,660,78,532,3626,705,947,530
20200529,177,661,80,534,3650,710,953,535
20200530,177,661,80,538,3664,711,962,535
20200531,178,661,80,538,3668,711,963,537
20200601,178,661,80,538,3677,716,965,539
20200602,178,662,79,538,3677,716,965,539
20200603,180,665,79,542,3692,718,968,540
20200604,181,665,80,546,3709,722,975,540
20200605,186,666,82,549,3735,730,977,545
20200606,186,668,82,549,3740,732,978,545
20200607,186,668,82,549,3741,732,979,545
20200608,186,669,82,551,3755,737,982,548
20200609,186,671,82,552,3762,738,982,551
20200610,186,671,82,551,3764,740,983,551
20200611,186,671,82,551,3764,740,983,551
20200612,186,675,83,552,3791,750,993,552
20200613,186,675,83,552,3798,750,994,558
20200614,186,675,83,552,3798,750,994,558
20200615,186,675,83,556,3804,750,995,559
20200616,186,677,83,559,3814,756,995,558
20200617,186,678,83,559,3820,755,996,563
20200618,192,679,83,563,3832,756,998,561
20200619,192,680,84,563,3846,758,1008,561
20200620,192,680,84,563,3834,758,1009,548
20200621,192,680,84,563,3847,758,1009,561
20200622,192,680,84,563,3849,758,1009,563
20200623,192,683,84,565,3853,758,1009,562
20200624,192,684,84,565,3858,758,1011,564
20200625,192,685,85,567,3888,762,1032,565
20200626,192,685,85,567,3890,763,1032,566
20200627,192,686,85,567,3893,764,1033,566
20200628,192,686,85,567,3893,764,1033,566
20200629,192,686,85,567,3893,764,1033,566
20200630,192,686,85,567,3892,763,1033,566
