date,Belluno,Padova,Rovigo,Treviso,Veneto,Venezia,Verona,Vicenza
20200306,0,38,4,49,155,36,17,11
20200307,3,45,5,60,188,40,19,16
20200308,4,54,4,73,221,48,22,16
20200309,9,39,4,69,203,35,39,8
20200310,9,56,4,79,233,39,35,11
20200311,9,71,4,79,262,40,40,19
20200312,15,98,5,75,357,78,61,25
20200313,16,83,5,88,350,64,69,25
20200314,21,105,5,68,416,81,89,47
20200315,26,126,6,82,487,86,110,51
20200316,23,134,11,91,546,108,120,59
20200317,29,138,11,97,593,116,132,70
20200318,37,176,9,123,691,127,141,78
20200319,42,188,10,146,805,155,170,94
20200320,50,198,15,186,919,167,190,113
20200321,55,192,13,229,1084,208,266,121
20200322,54,208,14,250,1177,239,280,132
20200323,60,219,19,253,1305,263,334,157
20200324,60,207,20,254,1326,271,345,169
20200325,66,222,19,257,1436,320,372,180
20200326,68,240,21,260,1490,325,381,195
20200327,76,237,25,255,1524,313,421,197
20200328,78,246,29,244,1574,329,441,207
20200329,73,251,29,240,1617,333,469,222
20200330,70,252,30,245,1669,361,479,232
20200331,73,257,31,259,1732,388,483,241
20200401,74,250,28,231,1687,371,483,250
20200402,75,240,30,269,1719,377,484,244
20200403,74,235,30,252,1693,368,495,239
20200404,70,235,35,245,1684,369,497,233
20200405,68,248,35,240,1697,376,488,242
20200406,75,255,38,267,1722,360,487,240
20200407,72,256,43,269,1706,331,490,245
20200408,71,259,43,248,1677,327,480,249
20200409,72,255,54,241,1668,316,484,246
20200410,75,234,55,237,1636,302,479,254
20200411,70,230,53,234,1603,298,465,253
20200412,66,233,48,232,1575,285,458,253
20200413,66,236,50,231,1574,284,458,249
