date,Assegnazione in corso,Belluno,Cluster domiciliati Comune di Vò,Domicilio fuori Veneto,Padova,Rovigo,Treviso,Veneto,Venezia,Verona,Vicenza
20200306,7,10,84,3,118,4,109,511,96,50,30
20200307,13,11,84,3,138,5,124,598,119,60,41
20200308,19,23,87,4,171,6,126,686,132,66,52
20200309,29,27,88,5,186,6,142,771,145,87,56
20200310,40,29,89,5,241,10,158,913,160,106,75
20200311,35,30,89,5,284,14,185,1023,179,110,92
20200312,45,52,85,20,420,13,310,1458,220,170,123
20200313,57,66,82,26,450,16,338,1673,256,239,143
20200314,48,78,82,32,538,27,392,1994,296,281,220
20200315,61,82,82,32,592,27,425,2246,328,364,253
20200316,84,106,82,34,652,28,466,2541,359,438,292
20200317,66,116,82,46,723,28,543,2923,402,547,370
20200318,84,150,82,49,816,52,617,3384,451,663,420
20200319,147,168,82,53,901,56,670,3751,501,718,455
20200320,151,197,83,50,971,62,768,4237,611,827,517
20200321,106,216,83,80,1120,68,864,4809,685,993,594
20200322,119,245,83,91,1225,76,979,5272,733,1069,652
20200323,113,262,83,101,1312,80,1013,5638,807,1147,720
20200324,145,280,83,102,1415,83,1102,6069,840,1236,783
20200325,118,306,84,128,1600,105,1188,6582,880,1317,856
20200326,136,326,84,134,1726,117,1265,7202,936,1532,946
20200327,124,357,84,150,1835,122,1325,7650,976,1688,989
20200328,103,394,85,161,1981,124,1363,8100,1031,1790,1068
20200329,104,411,85,164,2064,125,1412,8509,1086,1933,1125
20200330,108,425,85,166,2118,131,1459,8853,1127,2054,1180
20200331,86,441,85,186,2227,135,1529,9374,1192,2221,1272
20200401,55,471,85,179,2317,143,1557,9748,1242,2323,1376
20200402,65,488,86,182,2416,164,1618,10251,1308,2438,1486
20200403,70,508,86,185,2484,183,1665,10581,1343,2504,1553
20200404,78,535,86,204,2588,184,1689,10946,1379,2567,1636
20200405,86,557,87,205,2712,188,1719,11407,1452,2715,1686
20200406,88,577,87,203,2794,203,1731,11698,1508,2792,1715
20200407,83,580,87,203,2915,225,1768,12021,1557,2866,1737
20200408,102,609,87,224,2999,236,1863,12622,1695,2951,1856
20200409,117,644,87,229,3069,250,1912,13086,1760,3090,1928
20200410,79,650,87,236,3131,273,1948,13459,1795,3274,1986
