struttura,non critici,delta,terapia intensiva,delta,dimessi,decessi,delta
Azienda Ospedale Università Padova,98,+10),34,0,67,11,+1)
"Azienda Ospedale Università Padova-
Ospedale S. Antonio",0,0,0,0,0,0,0
"Azienda Ospedaliera Universitaria Integrata
di Verona - Borgo Roma",78,-3,18,0,50,29,+4)
"Azienda Ospedaliera Universitaria Integrata
di Verona - Borgo Trento",48,-1,36,+2),1,3,0
ULSS 1 - Ospedale Belluno,44,+5),6,+2),5,4,0
ULSS 1 - Ospedale Feltre,10,+1),0,0,2,3,0
ULSS 1 - Ospedale Agordo,6,0,0,0,1,0,0
ULSS 2 - Ospedale Treviso,135,+4),21,+1),86,47,+3)
ULSS 2 - Ospedale Oderzo,15,+4),0,0,1,3,0
ULSS 2 - Ospedale Conegliano,48,-10,11,0,5,7,0
ULSS 2 - Ospedale Vittorio Veneto °,68,+14),0,0,2,2,0
ULSS 2 - Ospedale Castelfranco,28,0,0,0,0,6,0
ULSS 2 - Ospedale Montebelluna,27,+6),7,+1),0,4,+2)
ULSS 3 - Ospedale Mestre,54,-1,14,0,14,12,+1)
ULSS 3 - Ospedale Venezia,17,+1),7,0,8,5,0
ULSS 3 - Ospedale Mirano,0,0,14,0,8,3,0
ULSS 3 - Ospedale Dolo °,67,+7),13,+1),4,4,+2)
ULSS 3 - Ospedale Chioggia,0,-1,1,+1),0,2,+1)
Ospedale Villa Salus-Mestre °,13,0,0,0,0,0,0
ULSS 4 - Ospedale San Dona' di Piave,0,0,0,0,0,0,0
ULSS 4 - Ospedale Jesolo °,44,+6),12,-2,1,6,+1)
ULSS 5 - Ospedale Rovigo,19,+2),0,0,7,2,0
ULSS 5 - Ospedale Trecenta °,0,0,5,+1),0,0,0
ULSS 5 - Ospedale Adria,0,0,0,0,0,0,0
ULSS 6 - Ospedale Schiavonia °,115,+3),23,+1),25,15,+1)
ULSS 6 - Ospedale Piove di Sacco,0,0,0,0,0,1,0
ULSS 6 - Ospedale Cittadella,5,0,1,0,5,2,0
ULSS 6- Osedale Camposampiero,1,+1),0,0,0,0,0
ULSS 7 - Ospedale Santorso °,36,+15),6,+1),5,1,0
ULSS 7 - Ospedale Bassano,29,+6),6,0,0,6,0
ULSS 7 - Ospedale Asiago,22,-1,0,0,0,5,0
ULSS 8 - Ospedale Vicenza,53,-5,25,+5),19,12,0
ULSS 8 - Ospedale Noventa Vicentina,17,0,0,0,1,0,0
ULSS 8 - Ospedale Arzignano,0,0,0,0,0,0,0
ULSS 8 - Ospedale Valdagno,0,0,0,0,0,0,0
ULSS 8 - Ospedale Lonigo,0,0,0,0,0,0,0
ULSS 9 - Ospedale Legnago,39,0,8,0,1,7,+2)
ULSS 9 - Ospedale San Bonifacio,7,+1),0,-1,0,0,0
ULSS 9 - Ospedale Villafranca °,97,+35),12,0,2,1,0
Ospedale Sacro Cuore Don Calabria-Negrar,46,0,8,0,15,6,0
Ospedale P. Pederzoli-Peschiera,19,0,6,0,4,1,0
