struttura,non critici,delta,terapia intensiva,delta,dimessi,decessi,delta
Azienda Ospedale Università Padova,110,+5),31,0,157,33,+2)
Ospedale Sant'Antonio,0,0,0,0,0,1,0
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Roma",79,+7),21,0,124,69,+2)
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Trento",31,-3,31,0,23,16,0
ULSS 1 - Ospedale Belluno,34,-3,10,+2),36,17,0
ULSS 1 - Ospedale Feltre,7,-1,0,0,9,5,0
ULSS 2 - Ospedale Treviso,76,-4,23,+3),137,66,+1)
ULSS 2 - Ospedale Oderzo,12,0,5,-1,10,8,+1)
ULSS 2 - Ospedale Conegliano,1,0,6,-1,15,16,+1)
ULSS 2 - Ospedale Vittorio Veneto °,135,0,6,0,68,15,0
ULSS 2 - Ospedale Castelfranco,28,0,0,0,18,6,0
ULSS 2 - Ospedale Montebelluna,20,0,9,0,28,9,0
Ospedale S. Camillo-Treviso °,49,0,0,0,4,0,0
ULSS 3 - Ospedale Mestre,38,+2),14,0,40,27,+1)
ULSS 3 - Ospedale Venezia,9,0,7,0,13,9,+1)
ULSS 3 - Ospedale Mirano,0,0,10,0,7,6,-1**
ULSS 3 - Ospedale Dolo °,88,+7),11,0,34,27,+1)
ULSS 3 - Ospedale Chioggia,0,0,0,0,0,3,0
Ospedale Villa Salus-Mestre °,46,0,0,0,22,2,0
ULSS 4 - Ospedale Jesolo °,43,-2,13,+2),28,16,0
Casa di Cura Rizzola,9,0,0,0,3,1,0
ULSS 5 - Ospedale Rovigo,8,+3),0,0,16,3,0
ULSS 5 - Ospedale Trecenta °,26,-3,12,+1),1,2,0
ULSS 5 - Ospedale Adria,1,+1),0,0,0,0,0
ULSS 6 - Ospedale Schiavonia °,112,+8),22,+1),120,47,+2)
ULSS 6 - Ospedale Piove di Sacco,0,0,0,0,1,0,0
ULSS 6 - Ospedale Cittadella,0,0,5,0,5,2,0
ULSS 6 - Ospedale Camposampiero,12,0,0,0,5,5,0
ULSS 7 - Ospedale Santorso °,111,+1),15,-1,36,17,0
ULSS 7 - Ospedale Bassano,9,0,6,0,15,11,0
ULSS 7 - Ospedale Asiago,4,0,0,0,8,10,0
ULSS 8 - Ospedale Vicenza,70,+3),20,-6,54,45,+3)
ULSS 8 - Ospedale Noventa Vicentina,22,-1,0,0,13,0,0
ULSS 8 - Ospedale Arzignano,0,0,0,0,0,1,0
ULSS 8 - Ospedale Valdagno,17,0,0,0,2,3,0
ULSS 9 - Ospedale Legnago,67,+2),7,0,9,31,+1)
ULSS 9 - Ospedale San Bonifacio,27,0,7,0,1,8,0
ULSS 9 - Ospedale Villafranca °,110,+1),16,0,48,25,0
ULSS 9 - Ospedale Marzana,45,-2,0,0,2,1,0
Ospedale Sacro Cuore Don Calabria-Negrar,82,0,10,0,44,19,0
Ospedale P. Pederzoli-Peschiera,47,+1),10,-2,30,17,0
Ospedale di Comunità Belluno (BL),14,0,,,3,3,0
Ospedale di Comunità  Agordo (BL),13,+1),,,0,1,0
Centro Servizi Civitas Vitae - Vedelago (TV),34,0,,,0,0,0
Centro Servizi Casa Luigi e Augusta - Ormelle (TV),20,0,,,0,1,0
Ospedale di Comunità Casa di Cura Rizzola (VE),8,+1),,,2,0,0
Ospedale di Comunità Villa Maria (PD),14,0,,,8,1,0
Ospedale di Comunità Marostica (VI),9,0,,,0,0,0
