Residenza,Totale,Δ casi
Belluno,30,+1)
Padova,284,+43)
Rovigo,14,+4)
Treviso,185,+27)
Venezia,179,+19)
Verona,110,+4)
Vicenza,92,+17)
Cluster domiciliati Comune di Vò,89,0
Lombardia,5,0
Assegnazione in corso,35,-5
Struttura di ricovero,"Pazienti SARS-
Cov-2 in AREA
NON CRITICA","Δ Area
non
critica","Pazienti in
TERAPIA
INTENSIVA",Δ Ter Int,"dimessi
dal 21.2","deceduti con
positività per
SARS-CoV-2**
dal 21.2",
"",,,,,,,Δ
Azienda Ospedale Università Padova,42,+8),15,-2,31,5,+2)
"Azienda Ospedaliera Universitaria
Integrata di Verona - Borgo Roma",19,-1,3,+1),3,2,0
"Azienda Ospedaliera Universitaria
Integrata di Verona - Borgo Trento",0,0,1,-1,,,0
ULSS 1 - Ospedale Belluno,8,0,,0,,,0
ULSS 1 - Ospedale Feltre,1,0,,0,,,0
ULSS 2 - Ospedale Treviso,70,0,7,0,5,14,+1)
ULSS 2 - Ospedale Conegliano,4,0,8,0,,,0
ULSS 2 - Ospedale Vittorio Veneto,4,0,,0,,,0
ULSS 2 - Ospedale Castelfranco,5,0,,0,,1,0
ULSS 3 - Ospedale Mestre,19,0,11,0,1,4,0
ULSS 3 - Ospedale Venezia,8,0,3,0,2,1,0
ULSS 3 - Ospedale Mirano,5,0,5,0,,,0
ULSS 3 - Ospedale Dolo,2,0,,0,,,0
ULSS 3 - Ospedale Chioggia,1,0,,0,,1,0
ULSS 4 - Ospedale Jesolo,1,+1),,0,,,0
ULSS 5 - Ospedale Rovigo,4,0,1,0,3,,0
ULSS 6 - Ospedale Schiavonia,21,+3),1,+1),,1,0
ULSS 6 - Ospedale Piove di Sacco,4,0,1,0,,,0
ULSS 6 - Ospedale Cittadella,4,+4),,0,,,0
ULSS 7 - Ospedale Santorso,6,+4),,0,4,,0
ULSS 7 - Ospedale  Bassano,2,0,,0,,,0
ULSS 8 - Ospedale Vicenza,10,+3),7,-1,5,,0
ULSS 8 - Ospedale Arzignano,1,+1),,0,,,0
ULSS 9 - Ospedale Legnago,5,0,3,0,,,0
ULSS 9 - Ospedale Villafranca,3,0,,0,,,0
Ospedale Sacro Cuore Don Calabria,13,+6),1,0,,,0
Ospedale P. Pederzoli-Peschiera,,0,1,+1),,,0
TOTALE REGIONE VENETO,262,+29),68,-1,54,29,+3)
