"Raggruppamenti sulla base deldomicilio del soggetto positivo SARS-CoV-2","Totale casicon tamponepositivo",Δ casi,,"Soggetti inISOLAMENTODOMICILIARE(positivi +contatti) (datodel 16.3 ore20.00)",
Padova (escluso domiciliati Vo'),723,+24),,1871,
Cluster domiciliati Comune di Vò,82,0,182,,
Treviso,543,+41),1268,,
Venezia,402,+24),1777,,
Verona,547,+66),1725,,
Vicenza,370,+45),1087,,
Belluno,116,+7),343,,
Rovigo,28,0,405,,
Domicilio fuori Veneto,46,+2),,,
Assegnazione in corso,66,+10),,,
TOTALE REGIONE VENETO,2923,+219),8658,,
Struttura di ricovero,"Pazienti  inAREA NONCRITICA","Δ area noncritica","Pazienti inTERAPIAINTENSIVA",Δ Ter Int,"dimessi dal21.2","decessi dal21.2*",Δ decessi
Azienda Ospedale Università Padova,47,-3,24,0,43,7,+1)
"Azienda Ospedaliera Universitaria Integratadi Verona - Borgo Roma",49,+8),14,0,9,6,0
"Azienda Ospedaliera Universitaria Integratadi Verona - Borgo Trento",4,+4),14,+2),0,1,0
ULSS 1 - Ospedale Belluno,20,+3),4,0,3,2,0
ULSS 1 - Ospedale Feltre,9,+1),0,0,0,2,0
ULSS 2 - Ospedale Treviso,85,+8),16,+3),51,30,0
ULSS 2 - Ospedale Oderzo,1,0,0,0,0,1,0
ULSS 2 - Ospedale Conegliano,6,0,10,-1,0,3,+2)
ULSS 2 - Ospedale Vittorio Veneto,1,-1,0,0,0,1,0
ULSS 2 - Ospedale Castelfranco,5,-2,0,0,0,1,0
ULSS 2 - Ospedale Montebelluna,0,0,2,0,0,2,0
ULSS 3 - Ospedale Mestre,44,+2),10,0,3,8,+1)
ULSS 3 - Ospedale Venezia,12,0,5,+1),4,2,0
ULSS 3 - Ospedale Mirano,10,0,14,0,1,0,0
ULSS 3 - Ospedale Dolo,30,+4),3,0,0,1,0
ULSS 3 - Ospedale Chioggia,1,0,0,0,0,1,0
ULSS 4 - Ospedale San Dona' di Piave,0,0,0,0,0,0,0
ULSS 4 - Ospedale Jesolo,18,+3),8,0,0,2,0
ULSS 5 - Ospedale Rovigo,10,0,0,0,5,0,0
ULSS 5 - Ospedale Trecenta,0,0,2,0,0,0,0
ULSS 5 - Ospedale Adria,1,0,0,0,0,0,0
ULSS 6 - Ospedale Schiavonia,69,+11),12,+2),2,5,+2)
ULSS 6 - Ospedale Piove di Sacco,14,0,2,-1,0,1,0
ULSS 6 - Ospedale Cittadella,8,-2,0,0,2,2,0
ULSS 7 - Ospedale Santorso,18,+7),0,0,4,1,+1)
ULSS 7 - Ospedale Bassano,14,-1,2,+1),0,2,0
ULSS 7 - Ospedale Asiago,13,-1,0,0,0,3,+1)
ULSS 8 - Ospedale Vicenza,22,0,19,0,12,1,0
ULSS 8 - Ospedale Noventa Vicentina,3,0,0,0,0,0,0
ULSS 8 - Ospedale Arzignano,0,0,0,0,0,0,0
ULSS 8 - Ospedale Valdagno,0,0,0,0,0,0,0
ULSS 9 - Ospedale Legnago,15,+6),7,+1),0,1,0
ULSS 9 - Ospedale San Bonifacio,2,-1,0,0,0,0,0
ULSS 9 - Ospedale Villafranca,6,+1),0,0,0,0,0
Ospedale Sacro Cuore Don Calabria-Negrar,40,-3,9,0,6,3,+1)
Ospedale P. Pederzoli-Peschiera,16,+1),0,-2,2,0,0
