"","Raggruppamenti sulla base deldomicilio del soggetto positivo SARS-CoV-2","Totale casicon tamponepositivo",Δ casi,,"Soggetti inISOLAMENTODOMICILIARE(positivi +contatti) (datodel 17.3 ore20.00)"
"",Padova (escluso domiciliati Vo'),816,+16),1995,
"",Cluster domiciliati Comune di Vò,82,0,52,
"",Treviso,617,+26),1410,
"",Venezia,451,+25),1853,
"",Verona,663,+37),1811,
"",Vicenza,420,+27),1362,
"",Belluno,150,+10),471,
"",Rovigo,52,+19),465,
"",Domicilio fuori Veneto,49,+1),,
"",Assegnazione in corso,84,+9),,
"",Struttura di ricovero,"Pazienti  inAREA NONCRITICA","Δ area noncritica","Pazienti inTERAPIAINTENSIVA",Δ Ter Int,"dimessi dal21.2","decessi dal21.2*",Δ decessi
"",Azienda Ospedale Università Padova,79,-3,27,+3),43,7,0
"","Azienda Ospedaliera Universitaria Integratadi Verona - Borgo Roma",49,+3),14,0,28,11,+5)
"","Azienda Ospedaliera Universitaria Integratadi Verona - Borgo Trento",7,+2),19,+1),0,1,0
"",ULSS 1 - Ospedale Belluno,27,0,4,0,3,3,+1)
"",ULSS 1 - Ospedale Feltre,10,0,0,0,0,2,0
"",ULSS 2 - Ospedale Treviso,93,+11),15,-1,54,34,+4)
"",ULSS 2 - Ospedale Oderzo,1,+1),0,-1,0,1,0
"",ULSS 2 - Ospedale Conegliano,23,0,11,+1),0,6,+3)
"",ULSS 2 - Ospedale Vittorio Veneto,13,+1),0,0,0,1,0
"",ULSS 2 - Ospedale Castelfranco,5,0,0,0,0,1,0
"",ULSS 2 - Ospedale Montebelluna,1,+1),3,0,0,2,0
"",ULSS 3 - Ospedale Mestre,42,0,10,-2,9,8,0
"",ULSS 3 - Ospedale Venezia,11,-1,5,0,5,3,+1)
"",ULSS 3 - Ospedale Mirano,5,-5,14,+1),7,2,+2)
"",ULSS 3 - Ospedale Dolo,39,+12),6,0,2,1,0
"",ULSS 3 - Ospedale Chioggia,1,0,0,0,0,1,0
"",ULSS 4 - Ospedale San Dona' di Piave,0,0,0,0,0,0,0
"",ULSS 4 - Ospedale Jesolo,16,-1,12,+3),0,2,0
"",ULSS 5 - Ospedale Rovigo,8,+1),0,0,7,1,+1)
"",ULSS 5 - Ospedale Trecenta,0,0,2,0,0,0,0
"",ULSS 5 - Ospedale Adria,1,0,0,0,0,0,0
"",ULSS 6 - Ospedale Schiavonia,80,+11),13,+1),2,6,+1)
"",ULSS 6 - Ospedale Piove di Sacco,6,-6,3,0,0,1,0
"",ULSS 6 - Ospedale Cittadella,11,+3),0,0,2,2,0
"",ULSS 7 - Ospedale Santorso,21,+3),0,0,4,1,0
"",ULSS 7 - Ospedale Bassano,14,0,3,+1),0,2,0
"",ULSS 7 - Ospedale Asiago,11,-1,0,0,0,5,+2)
"",ULSS 8 - Ospedale Vicenza,28,+4),22,0,12,3,+2)
"",ULSS 8 - Ospedale Noventa Vicentina,4,0,0,0,0,0,0
"",ULSS 8 - Ospedale Arzignano,0,0,0,0,0,0,0
"",ULSS 8 - Ospedale Valdagno,0,0,0,0,0,0,0
"",ULSS 9 - Ospedale Legnago,18,+4),8,0,0,2,+1)
"",ULSS 9 - Ospedale San Bonifacio,1,-1,1,+1),0,0,0
"",ULSS 9 - Ospedale Villafranca,7,+2),0,0,2,0,0
"",Ospedale Sacro Cuore Don Calabria-Negrar,42,+1),7,-2,7,4,+1)
"",Ospedale P. Pederzoli-Peschiera,17,+3),2,0,2,0,0
