"Raggruppamenti sulla base deldomicilio del soggetto positivo SARS-CoV-2","Totale casicon tamponepositivo",Δ casi,,"Soggetti inISOLAMENTODOMICILIARE(positivi +contatti) (datodel 18.3 ore20.00)"
Padova (escluso domiciliati Vo'),901,+59),2308,
Cluster domiciliati Comune di Vò,82,0,52,
Treviso,670,+33),1549,
Venezia,501,+26),2023,
Verona,718,+32),1720,
Vicenza,455,+31),1551,
Belluno,168,+18),447,
Rovigo,56,+4),474,
Domicilio fuori Veneto,53,+3),,
Assegnazione in corso,147,+61),,
Struttura di ricovero,"Pazienti  inAREA NONCRITICA","Δ area noncritica","Pazienti inTERAPIAINTENSIVA",Δ Ter Int,"dimessi dal21.2","decessi dal21.2*",Δ decessi
Azienda Ospedale Università Padova,83,+6),29,+1),53,7,0
"Azienda Ospedaliera Universitaria Integratadi Verona - Borgo Roma",61,-2,15,0,31,14,+3)
"Azienda Ospedaliera Universitaria Integratadi Verona - Borgo Trento",14,+2),24,+2),0,1,0
ULSS 1 - Ospedale Belluno,32,+6),5,0,3,3,0
ULSS 1 - Ospedale Feltre,9,-1,0,0,1,2,0
ULSS 1 - Ospedale Agordo,1,+1),0,0,0,0,
ULSS 2 - Ospedale Treviso,95,-2,17,+2),63,38,+4)
ULSS 2 - Ospedale Oderzo,5,-1,0,0,0,3,+1)
ULSS 2 - Ospedale Conegliano,38,0,11,0,0,6,0
ULSS 2 - Ospedale Vittorio Veneto,24,-1,0,0,0,1,0
ULSS 2 - Ospedale Castelfranco,5,0,0,0,0,2,+1)
ULSS 2 - Ospedale Montebelluna,3,+2),3,0,0,2,0
ULSS 3 - Ospedale Mestre,44,0,10,0,10,9,+1)
ULSS 3 - Ospedale Venezia,12,-1,5,0,7,4,+1)
ULSS 3 - Ospedale Mirano,2,-3,14,0,7,2,0
ULSS 3 - Ospedale Dolo,44,+2),8,+2),2,1,0
ULSS 3 - Ospedale Chioggia,0,-1,2,+2),0,1,0
Ospedale Villa Salus,2,+2),0,0,0,0,0
ULSS 4 - Ospedale San Dona' di Piave,0,0,0,0,0,0,0
ULSS 4 - Ospedale Jesolo,27,+11),11,-1,0,2,0
ULSS 5 - Ospedale Rovigo,10,+2),0,0,7,1,0
ULSS 5 - Ospedale Trecenta,0,0,2,-1,0,0,0
ULSS 5 - Ospedale Adria,0,-1,0,0,0,0,0
ULSS 6 - Ospedale Schiavonia,97,+10),18,+5),4,8,+2)
ULSS 6 - Ospedale Piove di Sacco,0,-4,3,0,0,1,0
ULSS 6 - Ospedale Cittadella,8,-1,0,0,2,2,0
ULSS 7 - Ospedale Santorso,23,0,1,0,5,1,0
ULSS 7 - Ospedale Bassano,12,-2,4,+1),0,4,+2)
ULSS 7 - Ospedale Asiago,23,+1),0,0,0,5,0
ULSS 8 - Ospedale Vicenza,26,0,22,0,14,4,0
ULSS 8 - Ospedale Noventa Vicentina,8,0,0,0,0,0,0
ULSS 8 - Ospedale Arzignano,0,0,0,0,0,0,0
ULSS 8 - Ospedale Valdagno,0,0,0,0,0,0,0
ULSS 8 - Ospedale Lonigo,2,0,0,0,0,0,0
ULSS 9 - Ospedale Legnago,17,0,8,0,0,2,0
ULSS 9 - Ospedale San Bonifacio,4,-1,0,0,0,0,0
ULSS 9 - Ospedale Villafranca,10,+4),5,+4),2,0,0
Ospedale Sacro Cuore Don Calabria-Negrar,43,+2),7,-1,8,4,0
Ospedale P. Pederzoli-Peschiera,21,+4),0,-1,2,0,0
