"Raggruppamenti sulla base deldomicilio del soggetto positivo SARS-CoV-2","Totale casicon tamponepositivo",Δ casi,,"Soggetti inISOLAMENTODOMICILIARE(positivi +contatti) (datodel 19.3 ore20.00)"
Padova (escluso domiciliati Vo'),971,+28),2443,
Cluster domiciliati Comune di Vò,83,0,52,
Treviso,768,+49),1685,
Venezia,611,+37),2649,
Verona,827,+43),2531,
Vicenza,517,-1,1994,
Belluno,197,+2),610,
Rovigo,62,-5,468,
Domicilio fuori Veneto,50,-4,,
Assegnazione in corso,151,+57),,
Struttura di ricovero,"Pazienti  inAREA NONCRITICA","Δ area noncritica","Pazienti inTERAPIAINTENSIVA",Δ Ter Int,"dimessi dal21.2","decessi dal21.2*",Δ decessi
Azienda Ospedale Università Padova,82,-2,31,+2),60,7,0
"Azienda Ospedaliera Universitaria Integratadi Verona - Borgo Roma",64,-2,18,+2),34,15,0
"Azienda Ospedaliera Universitaria Integratadi Verona - Borgo Trento",15,-1,26,+1),0,1,0
ULSS 1 - Ospedale Belluno,35,+3),5,0,5,3,0
ULSS 1 - Ospedale Feltre,9,0,0,0,2,2,0
ULSS 1 - Ospedale Agordo,6,+4),0,0,1,0,0
ULSS 2 - Ospedale Treviso,111,+19),18,-3,66,38,0
ULSS 2 - Ospedale Oderzo,6,+1),0,0,0,3,0
ULSS 2 - Ospedale Conegliano,44,+6),11,0,0,6,0
ULSS 2 - Ospedale Vittorio Veneto,27,+3),0,0,0,1,0
ULSS 2 - Ospedale Castelfranco,14,+9),0,0,0,2,0
ULSS 2 - Ospedale Montebelluna,11,+8),5,+1),0,2,0
ULSS 3 - Ospedale Mestre,40,-3,12,+1),6,10,+1)
ULSS 3 - Ospedale Venezia,12,-1,6,+1),7,5,+1)
ULSS 3 - Ospedale Mirano,0,-4,14,+1),8,3,+1)
ULSS 3 - Ospedale Dolo,47,+1),7,-1,2,1,0
ULSS 3 - Ospedale Chioggia,0,0,0,0,0,1,0
Ospedale Villa Salus,10,+4),0,0,0,0,0
ULSS 4 - Ospedale San Dona' di Piave,0,0,0,0,0,0,0
ULSS 4 - Ospedale Jesolo,31,+5),13,0,1,3,+1)
ULSS 5 - Ospedale Rovigo,15,+4),0,0,7,1,0
ULSS 5 - Ospedale Trecenta,0,0,3,+1),0,0,0
ULSS 5 - Ospedale Adria,0,0,0,0,0,0,0
ULSS 6 - Ospedale Schiavonia,108,+9),19,+1),4,10,+2)
ULSS 6 - Ospedale Piove di Sacco,0,0,2,0,0,1,0
ULSS 6 - Ospedale Cittadella,8,0,0,0,2,2,0
ULSS 7 - Ospedale Santorso,24,+1),2,+1),5,1,0
ULSS 7 - Ospedale Bassano,15,0,6,+2),0,4,0
ULSS 7 - Ospedale Asiago,23,0,0,0,0,5,0
ULSS 8 - Ospedale Vicenza,39,0,22,0,13,4,0
ULSS 8 - Ospedale Noventa Vicentina,12,0,0,0,1,0,0
ULSS 8 - Ospedale Arzignano,0,0,0,0,0,0,0
ULSS 8 - Ospedale Valdagno,0,0,0,0,0,0,0
ULSS 8 - Ospedale Lonigo,0,0,0,0,0,0,0
ULSS 9 - Ospedale Legnago,28,+10),8,0,0,3,+1)
ULSS 9 - Ospedale San Bonifacio,6,+2),0,-1,0,0,0
ULSS 9 - Ospedale Villafranca,12,+5),8,0,2,1,+1)
Ospedale Sacro Cuore Don Calabria-Negrar,41,-2,8,+1),11,5,+1)
Ospedale P. Pederzoli-Peschiera,24,+6),2,0,2,0,0
