"","Raggruppamenti sulla base deldomicilio del soggetto positivo SARS-CoV-2","Totale casicon tamponepositivo",Δ casi,,"Soggetti inISOLAMENTODOMICILIARE(positivi +contatti) (datodel 20.3 ore20.00)"
"",Padova (escluso domiciliati Vo'),1120,+48),2669,
"",Cluster domiciliati Comune di Vò,83,0,52,
"",Treviso,864,+58),1775,
"",Venezia,685,+19),3120,
"",Verona,993,+39),2619,
"",Vicenza,594,+22),2182,
"",Belluno,216,+4),689,
"",Rovigo,68,0,483,
"",Domicilio fuori Veneto,80,+4),,
"",Assegnazione in corso,106,-2,,
"",Struttura di ricovero,"Pazienti  inAREA NONCRITICA","Δ area noncritica","Pazienti inTERAPIAINTENSIVA",Δ Ter Int,"dimessi dal21.2","decessi dal21.2*",Δ decessi
"",Azienda Ospedale Università Padova,84,0,32,+1),62,8,0
"","Azienda Ospedaliera Universitaria Integratadi Verona - Borgo Roma",72,+1),18,0,42,17,+1)
"","Azienda Ospedaliera Universitaria Integratadi Verona - Borgo Trento",32,+17),28,0,1,1,0
"",ULSS 1 - Ospedale Belluno,40,+5),4,-1,5,4,+1)
"",ULSS 1 - Ospedale Feltre,9,0,0,0,2,2,0
"",ULSS 1 - Ospedale Agordo,6,0,0,0,1,0,0
"",ULSS 2 - Ospedale Treviso,121,+9),22,+4),83,42,+4)
"",ULSS 2 - Ospedale Oderzo,11,+5),0,0,0,3,0
"",ULSS 2 - Ospedale Conegliano,53,+9),11,0,5,6,0
"",ULSS 2 - Ospedale Vittorio Veneto °,52,+25),0,0,0,1,0
"",ULSS 2 - Ospedale Castelfranco,24,+10),0,0,0,5,+3)
"",ULSS 2 - Ospedale Montebelluna,20,+9),5,0,0,2,0
"",ULSS 3 - Ospedale Mestre,45,+4),12,+1),8,10,0
"",ULSS 3 - Ospedale Venezia,14,+2),7,+1),7,5,0
"",ULSS 3 - Ospedale Mirano,0,0,14,0,8,3,0
"",ULSS 3 - Ospedale Dolo °,53,+7),8,0,4,1,0
"",ULSS 3 - Ospedale Chioggia,0,0,0,0,0,1,0
"",Ospedale Villa Salus °,9,-1,0,0,0,0,0
"",ULSS 4 - Ospedale San Dona' di Piave,0,0,0,0,0,0,0
"",ULSS 4 - Ospedale Jesolo,35,+4),13,0,1,5,+2)
"",ULSS 5 - Ospedale Rovigo,13,-2,0,0,7,2,+1)
"",ULSS 5 - Ospedale Trecenta °,0,0,3,0,0,0,0
"",ULSS 5 - Ospedale Adria,0,0,0,0,0,0,0
"",ULSS 6 - Ospedale Schiavonia °,103,-1,18,-1,19,12,+2)
"",ULSS 6 - Ospedale Piove di Sacco,0,0,1,-1,0,1,0
"",ULSS 6 - Ospedale Cittadella,5,0,0,0,5,2,0
"",ULSS 7 - Ospedale Santorso °,24,0,2,0,5,1,0
"",ULSS 7 - Ospedale Bassano,17,+2),6,0,0,6,+2)
"",ULSS 7 - Ospedale Asiago,23,0,0,0,0,5,0
"",ULSS 8 - Ospedale Vicenza,43,-2,20,0,15,10,+2)
"",ULSS 8 - Ospedale Noventa Vicentina,14,0,0,0,1,0,0
"",ULSS 8 - Ospedale Arzignano,0,0,0,0,0,0,0
"",ULSS 8 - Ospedale Valdagno,0,0,0,0,0,0,0
"",ULSS 8 - Ospedale Lonigo,0,0,0,0,0,0,0
"",ULSS 9 - Ospedale Legnago,29,-1,8,0,0,3,0
"",ULSS 9 - Ospedale San Bonifacio,10,+1),0,0,0,0,0
"",ULSS 9 - Ospedale Villafranca °,56,+39),11,+3),2,1,0
"",Ospedale Sacro Cuore Don Calabria-Negrar,45,0,9,0,11,5,0
"",Ospedale P. Pederzoli-Peschiera,22,0,5,+1),4,0,0
TOTALE REGIONE VENETO,1084,+142),257,+8),298,164,+18),
