"","Raggruppamenti sulla base deldomicilio del soggetto positivo SARS-CoV-2","Totale casicon tamponepositivo",Δ casi,,"Soggetti inISOLAMENTODOMICILIARE(positivi +contatti) (datodel 21.3 ore20.00)"
"",Padova (escluso domiciliati Vo'),1225,+31),2669,
"",Cluster domiciliati Comune di Vò,83,0,52,
"",Treviso,979,+44),1856,
"",Venezia,733,+1),3339,
"",Verona,1069,+23),2767,
"",Vicenza,652,+21),2258,
"",Belluno,245,+19),736,
"",Rovigo,76,0,591,
"",Domicilio fuori Veneto,91,+1),,
"",Assegnazione in corso,119,+10),,
"",Struttura di ricovero,"Pazienti  inAREA NONCRITICA","Δ area noncritica","Pazienti inTERAPIAINTENSIVA",Δ Ter Int,"dimessi dal21.2","decessi dal21.2*",Δ decessi
"",Azienda Ospedale Università Padova,90,-2,33,+1),64,10,+2)
"","Azienda Ospedaliera Universitaria Integratadi Verona - Borgo Roma",68,-5,18,0,48,23,+4)
"","Azienda Ospedaliera Universitaria Integratadi Verona - Borgo Trento",43,+10),32,+4),1,2,+1)
"",ULSS 1 - Ospedale Belluno,39,-1,4,0,5,4,0
"",ULSS 1 - Ospedale Feltre,9,0,0,0,2,3,+1)
"",ULSS 1 - Ospedale Agordo,6,0,0,0,1,0,0
"",ULSS 2 - Ospedale Treviso,131,+6),20,+2),84,44,+2)
"",ULSS 2 - Ospedale Oderzo,11,0,0,0,0,3,0
"",ULSS 2 - Ospedale Conegliano,58,+4),11,+1),5,7,+1)
"",ULSS 2 - Ospedale Vittorio Veneto °,54,+2),0,0,0,2,+1)
"",ULSS 2 - Ospedale Castelfranco,29,+5),0,0,0,6,+1)
"",ULSS 2 - Ospedale Montebelluna,21,+1),6,+1),0,2,0
"",ULSS 3 - Ospedale Mestre,58,+12),13,0,11,10,0
"",ULSS 3 - Ospedale Venezia,17,+2),7,0,7,5,0
"",ULSS 3 - Ospedale Mirano,0,0,14,0,8,3,0
"",ULSS 3 - Ospedale Dolo °,59,+6),8,0,4,2,+1)
"",ULSS 3 - Ospedale Chioggia,0,0,0,0,0,1,0
"",Ospedale Villa Salus °,12,+3),0,0,0,0,0
"",ULSS 4 - Ospedale San Dona' di Piave,0,0,0,0,0,0,0
"",ULSS 4 - Ospedale Jesolo,39,+5),13,0,1,5,0
"",ULSS 5 - Ospedale Rovigo,14,+1),0,0,7,2,0
"",ULSS 5 - Ospedale Trecenta °,0,0,4,+1),0,0,0
"",ULSS 5 - Ospedale Adria,0,0,0,0,0,0,0
"",ULSS 6 - Ospedale Schiavonia °,114,+9),20,+2),22,13,+1)
"",ULSS 6 - Ospedale Piove di Sacco,0,0,0,-1,0,1,0
"",ULSS 6 - Ospedale Cittadella,4,-1,1,+1),5,2,0
"",ULSS 7 - Ospedale Santorso °,21,-1,5,+1),5,1,0
"",ULSS 7 - Ospedale Bassano,23,+6),6,0,0,6,0
"",ULSS 7 - Ospedale Asiago,23,0,0,0,0,5,0
"",ULSS 8 - Ospedale Vicenza,51,0,20,0,18,11,0
"",ULSS 8 - Ospedale Noventa Vicentina,14,0,0,0,1,0,0
"",ULSS 8 - Ospedale Arzignano,0,0,0,0,0,0,0
"",ULSS 8 - Ospedale Valdagno,0,0,0,0,0,0,0
"",ULSS 8 - Ospedale Lonigo,0,0,0,0,0,0,0
"",ULSS 9 - Ospedale Legnago,33,+3),8,0,1,5,+1)
"",ULSS 9 - Ospedale San Bonifacio,8,0,1,0,0,0,0
"",ULSS 9 - Ospedale Villafranca °,61,0,11,0,2,1,0
"",Ospedale Sacro Cuore Don Calabria-Negrar,47,0,8,0,14,6,+1)
"",Ospedale P. Pederzoli-Peschiera,20,-1,5,0,4,1,0
TOTALE REGIONE VENETO,1177,+64),268,+13),320,186,+17),
