"","Raggruppamenti sulla base deldomicilio del soggetto positivo SARS-CoV-2","Totale casicon tamponepositivo",Δ casi,,"Soggetti inISOLAMENTODOMICILIARE(positivi +contatti) (datodel 23.3 ore20.00)"
"",Padova (escluso domiciliati Vo'),1415,+34),2744,
"",Cluster domiciliati Comune di Vò,83,0,51,
"",Treviso,1102,+11),2286,
"",Venezia,840,+3),3753,
"",Verona,1236,+8),3220,
"",Vicenza,783,+39),2298,
"",Belluno,280,+7),1080,
"",Rovigo,83,+1),788,
"",Domicilio fuori Veneto,102,0,,
"",Assegnazione in corso,145,+18),,
"",Struttura di ricovero,"Pazienti  inAREA NONCRITICA","Δ area noncritica","Pazienti inTERAPIAINTENSIVA",Δ Ter Int,"dimessidal 21.2","decessidal21.2*",Δ decessi
"",Azienda Ospedale Università Padova,92,-3,34,0,82,12,+1)
"","Azienda Ospedale Università Padova-Ospedale S. Antonio",0,0,0,0,0,0,0
"","Azienda Ospedaliera Universitaria Integratadi Verona - Borgo Roma",75,-9,22,+4),58,29,0
"","Azienda Ospedaliera Universitaria Integratadi Verona - Borgo Trento",45,-2,35,-1,6,4,+1)
"",ULSS 1 - Ospedale Belluno,46,+2),9,+2),7,4,0
"",ULSS 1 - Ospedale Feltre,8,-2,0,0,2,3,0
"",ULSS 1 - Ospedale Agordo,6,0,0,0,1,0,0
"",ULSS 2 - Ospedale Treviso,134,0,21,-1,88,49,+2)
"",ULSS 2 - Ospedale Oderzo,19,+4),0,0,2,3,0
"",ULSS 2 - Ospedale Conegliano,41,-2,11,0,11,9,+1)
"",ULSS 2 - Ospedale Vittorio Veneto °,63,0,2,+2),7,2,0
"",ULSS 2 - Ospedale Castelfranco,29,+2),0,0,0,6,0
"",ULSS 2 - Ospedale Montebelluna,27,0,8,+1),1,4,0
"",Ospedale S. Camillo-Treviso °,4,+3),0,0,0,0,0
"",ULSS 3 - Ospedale Mestre,57,0,14,-1,16,13,0
"",ULSS 3 - Ospedale Venezia,15,0,7,0,8,5,0
"",ULSS 3 - Ospedale Mirano,0,-1,14,0,8,3,0
"",ULSS 3 - Ospedale Dolo °,71,+1),13,+1),11,5,+1)
"",ULSS 3 - Ospedale Chioggia,0,0,1,0,0,2,0
"",Ospedale Villa Salus-Mestre °,20,+2),0,0,0,0,0
"",ULSS 4 - Ospedale San Dona' di Piave,0,0,0,0,0,0,0
"",ULSS 4 - Ospedale Jesolo °,45,+3),12,-2,3,9,+2)
"",ULSS 5 - Ospedale Rovigo,20,+1),1,0,7,2,0
"",ULSS 5 - Ospedale Trecenta °,0,0,5,0,0,0,0
"",ULSS 5 - Ospedale Adria,0,0,0,0,0,0,0
"",ULSS 6 - Ospedale Schiavonia °,112,+2),24,0,34,17,+2)
"",ULSS 6 - Ospedale Piove di Sacco,0,0,0,0,0,1,0
"",ULSS 6 - Ospedale Cittadella,0,-2,2,+1),9,2,0
"",ULSS 6 - Ospedale Camposampiero,1,0,0,0,0,1,+1)
"",ULSS 7 - Ospedale Santorso °,36,+1),9,0,5,4,+3)
"",ULSS 7 - Ospedale Bassano,33,+1),6,0,0,7,+1)
"",ULSS 7 - Ospedale Asiago,20,-2,0,0,0,8,+3)
"",ULSS 8 - Ospedale Vicenza,59,-1,25,0,21,14,+1)
"",ULSS 8 - Ospedale Noventa Vicentina,17,0,0,0,1,0,0
"",ULSS 8 - Ospedale Arzignano,0,0,0,0,0,0,0
"",ULSS 8 - Ospedale Valdagno,4,0,0,0,0,0,0
"",ULSS 8 - Ospedale Lonigo,0,0,0,0,0,0,0
"",ULSS 9 - Ospedale Legnago,43,+3),8,0,2,8,+1)
"",ULSS 9 - Ospedale San Bonifacio,4,+1),1,+1),1,0,0
"",ULSS 9 - Ospedale Villafranca °,107,-1,14,+1),3,1,0
"",IRCCS - IOV,2,+2),0,0,0,0,0
"",Ospedale Sacro Cuore Don Calabria-Negrar,51,+3),7,0,16,9,+1)
"",Ospedale P. Pederzoli-Peschiera,20,+2),9,+2),4,1,0
