"Raggruppamenti sulla base deldomicilio del soggetto positivo SARS-CoV-2","Totale casicon tamponepositivo",Δ casi,,"Soggetti inISOLAMENTODOMICILIARE(positivi +contatti) (datodel 28.3 ore20.00)",
Padova (escluso domiciliati Vo'),2064,+25),,3532,
Cluster domiciliati Comune di Vò,85,0,,,
Treviso,1412,+10),4075,,
Venezia,1086,+19),4261,,
Verona,1933,+57),3968,,
Vicenza,1125,+21),2501,,
Belluno,411,+15),1189,,
Rovigo,125,0,538,,
Domicilio fuori Veneto,164,+1),,,
Assegnazione in corso,104,+3),,,
TOTALE REGIONE VENETO,8509,+151),20064,,
Struttura di ricovero,"Pazienti  inAREA NONCRITICA","Δ area noncritica","Pazienti inTERAPIAINTENSIVA",Δ Ter Int,"dimessidal 21.2","decessidal21.2*",Δ decessi
Azienda Ospedale Università Padova,116,+3),32,0,118,19,0
"Azienda Ospedaliera Universitaria Integratadi Verona - Borgo Roma",86,+6),24,0,90,49,0
"Azienda Ospedaliera Universitaria Integratadi Verona - Borgo Trento",40,+1),34,0,12,15,0
ULSS 1 - Ospedale Belluno,43,-8,9,-1,26,8,0
ULSS 1 - Ospedale di Comunità Belluno,6,+2),0,0,0,1,0
ULSS 1 - Ospedale Feltre,12,+1),0,0,5,4,0
ULSS 1 - Ospedale di Comunità Agordo,12,0,0,0,1,0,0
ULSS 2 - Ospedale Treviso,111,-2,25,0,129,59,+2)
ULSS 2 - Ospedale Oderzo,19,0,5,+1),5,5,0
ULSS 2 - Ospedale Conegliano,18,0,9,0,13,10,0
ULSS 2 - Ospedale Vittorio Veneto °,102,-2,6,0,28,8,+1)
ULSS 2 - Ospedale Castelfranco,23,0,0,0,9,6,0
ULSS 2 - Ospedale Montebelluna,29,0,7,0,12,6,0
Ospedale S. Camillo-Treviso °,40,0,0,0,0,0,0
ULSS 3 - Ospedale Mestre,49,-3,16,0,22,19,+1)
ULSS 3 - Ospedale Venezia,12,0,7,0,11,5,0
ULSS 3 - Ospedale Mirano,1,+1),11,0,8,5,0
ULSS 3 - Ospedale Dolo °,87,+4),15,0,17,13,0
ULSS 3 - Ospedale Chioggia,0,0,0,0,0,2,0
Ospedale Villa Salus-Mestre °,27,+4),0,0,10,2,0
ULSS 4 - Ospedale Jesolo °,55,0,14,0,14,11,0
ULSS 5 - Ospedale Rovigo,24,0,0,0,11,2,0
ULSS 5 - Ospedale Trecenta °,5,0,9,0,0,0,0
ULSS 5 - Ospedale Adria,0,0,0,0,0,0,0
ULSS 6 - Ospedale Schiavonia °,122,+5),26,+1),67,32,+1)
ULSS 6 - Ospedale Piove di Sacco,0,0,0,0,1,0,0
ULSS 6 - Ospedale Cittadella,0,0,6,0,5,2,0
ULSS 6 - Ospedale Camposampiero,9,-1,0,0,5,3,+2)
Casa di Cura Villa Maria - Padova,3,0,0,0,0,0,0
Casa di Cura Villa Maria ODC - Padova,1,0,0,0,0,0,0
ULSS 7 - Ospedale Santorso °,68,+12),15,+1),19,12,+1)
ULSS 7 - Ospedale Bassano,27,-5,8,+1),7,8,0
ULSS 7 - Ospedale Asiago,22,0,0,0,0,9,0
ULSS 8 - Ospedale Vicenza,71,0,27,0,35,29,0
ULSS 8 - Ospedale Noventa Vicentina,21,0,0,0,5,0,0
ULSS 8 - Ospedale Valdagno,13,0,0,0,0,1,0
ULSS 9 - Ospedale Legnago,65,+1),8,0,2,20,0
ULSS 9 - Ospedale San Bonifacio,20,+3),6,+2),2,3,0
ULSS 9 - Ospedale Villafranca °,118,+2),20,0,16,12,+2)
ULSS 9 - Ospedale Marzana,19,0,0,0,1,0,0
IRCCS - IOV,0,0,0,0,0,0,0
Ospedale Sacro Cuore Don Calabria-Negrar,77,+5),10,0,23,15,0
Ospedale P. Pederzoli-Peschiera,44,+2),11,0,11,7,0
