"Raggruppamenti sulla base del
domicilio del soggetto positivo SARS-
CoV-2","Totale casi
con tampone
positivo",Δ casi,,"Soggetti in
ISOLAMENTO
DOMICILIARE
(positivi +
contatti) (dato
del 29.3 ore
20.00)"
Padova (escluso domiciliati Vo'),2118,+15),3532,
Cluster domiciliati Comune di Vò,85,0,,
Treviso,1459,+10),4346,
Venezia,1127,+20),4256,
Verona,2054,+72),3392,
Vicenza,1180,+12),2567,
Belluno,425,+2),1231,
Rovigo,131,0,571,
Domicilio fuori Veneto,166,+1),,
Assegnazione in corso,108,-3,,
Struttura di ricovero,"Pazienti  in
AREA NON
CRITICA","Δ area non
critica","Pazienti in
TERAPIA
INTENSIVA",Δ Ter Int,"dimessi
dal 21.2","decessi
dal
21.2*",Δ decessi
Azienda Ospedale Università Padova,113,-5,32,+1),125,21,+2)
"Azienda Ospedaliera Universitaria Integrata
di Verona - Borgo Roma",89,+1),24,0,90,55,+1)
"Azienda Ospedaliera Universitaria Integrata
di Verona - Borgo Trento",40,-2,34,0,15,15,0
ULSS 1 - Ospedale Belluno,41,-2,8,-1,26,10,+2)
ULSS 1 - Ospedale di Comunità Belluno,6,0,0,0,0,1,0
ULSS 1 - Ospedale Feltre,11,-1,0,0,6,4,0
ULSS 1 - Ospedale di Comunità Agordo,12,0,0,0,1,0,0
ULSS 2 - Ospedale Treviso,114,+4),26,0,130,60,+1)
ULSS 2 - Ospedale Oderzo,21,+3),6,0,5,5,0
ULSS 2 - Ospedale Conegliano,17,0,7,-2,13,12,+1)
ULSS 2 - Ospedale Vittorio Veneto °,122,+20),6,0,36,10,+2)
ULSS 2 - Ospedale Castelfranco,22,-1,0,0,10,6,0
ULSS 2 - Ospedale Montebelluna,29,+1),8,0,14,6,0
Ospedale S. Camillo-Treviso °,42,+2),0,0,0,0,0
ULSS 3 - Ospedale Mestre,49,-1,15,0,23,19,0
ULSS 3 - Ospedale Venezia,11,-1,6,-1,13,6,+1)
ULSS 3 - Ospedale Mirano,1,-1,10,0,8,6,+1)
ULSS 3 - Ospedale Dolo °,88,+2),17,0,17,14,+1)
ULSS 3 - Ospedale Chioggia,1,+1),0,0,0,2,0
Ospedale Villa Salus-Mestre °,28,+1),0,0,10,2,0
ULSS 4 - Ospedale Jesolo °,60,+3),12,0,16,12,+1)
Casa di Cura Rizzola,1,+1),0,0,0,0,0
ULSS 5 - Ospedale Rovigo,25,0,0,0,11,2,0
ULSS 5 - Ospedale Trecenta °,5,0,9,0,0,0,0
ULSS 5 - Ospedale Adria,0,0,0,0,0,0,0
ULSS 6 - Ospedale Schiavonia °,125,+2),24,0,71,36,+4)
ULSS 6 - Ospedale Piove di Sacco,0,0,0,0,1,0,0
ULSS 6 - Ospedale Cittadella,0,0,5,0,5,2,0
ULSS 6 - Ospedale Camposampiero,10,+1),0,0,5,3,0
Casa di Cura Villa Maria - Padova,3,0,0,0,0,0,0
Casa di Cura Villa Maria OdC - Padova,1,0,0,0,0,0,0
ULSS 7 - Ospedale Santorso °,79,+9),15,0,22,14,+2)
ULSS 7 - Ospedale Bassano,27,-1,7,0,7,9,+1)
ULSS 7 - Ospedale Asiago,22,0,0,0,0,9,0
ULSS 8 - Ospedale Vicenza,71,0,27,0,36,35,+1)
ULSS 8 - Ospedale Noventa Vicentina,20,0,0,0,6,0,0
ULSS 8 - Ospedale Valdagno,13,0,0,0,0,1,0
ULSS 9 - Ospedale Legnago,65,-3,8,0,2,21,+1)
ULSS 9 - Ospedale San Bonifacio,19,-1,7,+1),1,3,0
ULSS 9 - Ospedale Villafranca °,115,-6,20,0,24,12,0
ULSS 9 - Ospedale Marzana,22,+3),0,0,1,0,0
IRCCS - IOV,0,0,0,0,0,0,0
Ospedale Sacro Cuore Don Calabria-Negrar,79,+1),10,0,26,15,0
Ospedale P. Pederzoli-Peschiera,50,+6),11,0,14,8,+1)
