"Raggruppamenti sulla base del domiciliodel soggetto positivo SARS-CoV-2","TOTALE CASIcon tamponepositivo -datocumulativo","Δ Totale casipositivi","Casiattualmentepositivi","Deceduti (inospedale +extra-ospedale) -datocumulativo","Negativizzativirologici^ -datocumulativo",,"Soggetti inISOLAMENTODOMICILIARE(dato del 31.3ore 20.00)"
Padova (escluso domiciliati Vo'),2317,34,2101,84,132,3959,
Cluster domiciliati Comune di Vò,85,0,20,3,62,,
Treviso,1557,3,1319,109,129,4170,
Venezia,1242,11,1066,77,99,4307,
Verona,2323,36,2124,152,47,3371,
Vicenza,1376,49,1223,69,84,2640,
Belluno,471,11,433,15,23,1263,
Rovigo,143,3,127,4,12,565,
Domicilio fuori Veneto,179,-2,158,4,17,,
Assegnazione in corso,55,-22,55,0,0,,
Struttura di ricovero,"Pazienti  in AREANON CRITICA","Δ area noncritica","Pazienti inTERAPIAINTENSIVA",Δ Ter Int,"dimessi dal21.2","decessi dal21.2*",Δ decessi
Azienda Ospedale Università Padova,106,-6,31,0,138,23,+1)
"Azienda Ospedaliera Universitaria Integratadi Verona - Borgo Roma",81,-1,24,0,103,60,0
"Azienda Ospedaliera Universitaria Integratadi Verona - Borgo Trento",39,+1),32,0,17,15,0
ULSS 1 - Ospedale Belluno,45,+1),10,0,29,11,0
ULSS 1 - Ospedale di Comunità Belluno,10,+1),0,0,0,3,+2)
ULSS 1 - Ospedale Feltre,7,-1,0,0,7,5,+1)
ULSS 1 - Ospedale di Comunità Agordo,12,0,0,0,1,0,0
ULSS 2 - Ospedale Treviso,99,-18,24,+1),160,61,0
ULSS 2 - Ospedale Oderzo,17,-1,6,0,9,5,0
ULSS 2 - Ospedale Conegliano,4,0,8,0,14,13,0
ULSS 2 - Ospedale Vittorio Veneto °,142,-2,7,0,44,12,+1)
ULSS 2 - Ospedale Castelfranco,32,+3),0,0,15,6,0
ULSS 2 - Ospedale Montebelluna,30,-8,8,0,24,7,+1)
Ospedale S. Camillo-Treviso °,49,+2),0,0,0,0,0
ULSS 3 - Ospedale Mestre,43,-7,15,0,32,20,0
ULSS 3 - Ospedale Venezia,11,-1,7,0,12,7,+1)
ULSS 3 - Ospedale Mirano,0,0,10,0,7,7,0
ULSS 3 - Ospedale Dolo °,91,0,14,0,23,20,+2)
ULSS 3 - Ospedale Chioggia,0,0,0,0,0,3,0
Ospedale Villa Salus-Mestre °,31,+3),0,0,17,2,0
ULSS 4 - Ospedale Jesolo °,49,-2,11,-1,24,14,0
Casa di Cura Rizzola,9,+1),0,0,2,0,0
Casa di cura Rizzola - OdC,4,+4),0,0,0,0,0
ULSS 5 - Ospedale Rovigo,23,-2,0,0,11,4,+2)
ULSS 5 - Ospedale Trecenta °,5,0,9,0,0,0,0
ULSS 5 - Ospedale Adria,0,0,0,0,0,0,0
ULSS 6 - Ospedale Schiavonia °,124,+3),24,-1,86,37,+1)
ULSS 6 - Ospedale Piove di Sacco,0,0,0,0,1,0,0
ULSS 6 - Ospedale Cittadella,0,0,6,0,5,2,0
ULSS 6 - Ospedale Camposampiero,11,+2),0,0,6,4,0
Casa di Cura Villa Maria OdC - Padova,9,+2),0,0,7,1,0
ULSS 7 - Ospedale Santorso °,90,+7),16,0,22,15,0
ULSS 7 - Ospedale Bassano,28,-3,6,0,7,10,+1)
ULSS 7 - Ospedale Asiago,22,0,0,0,0,9,0
ULSS 8 - Ospedale Vicenza,75,0,26,0,40,38,0
ULSS 8 - Ospedale Noventa Vicentina,21,0,0,0,8,0,0
ULSS 8 - Ospedale Valdagno,14,0,0,0,0,1,0
ULSS 9 - Ospedale Legnago,69,+2),8,0,4,23,0
ULSS 9 - Ospedale San Bonifacio,12,-2,7,0,1,5,+1)
ULSS 9 - Ospedale Villafranca °,119,+3),18,-1,32,16,+1)
ULSS 9 - Ospedale Marzana,36,+1),0,0,1,0,0
IRCCS - IOV,0,0,0,0,0,0,0
Ospedale Sacro Cuore Don Calabria-Negrar,81,-2,10,0,32,18,+1)
Ospedale P. Pederzoli-Peschiera,46,-2,11,0,20,12,0
