"ti
Raggruppamenti sulla base del domicilio
del soggetto positivo SARS-CoV-2","TOTALE CASI
con tampone
positivo -dato
cumulativo","Δ Totale casi
positivi","Casi
attualmente
positivi","Deceduti (in
ospedale +
extra-
ospedale) -
dato
cumulativo","Negativizzati
virologici^ -
dato
cumulativo",,"Soggetti in
ISOLAMENTO
DOMICILIARE
(dato del 01.04
ore 20.00)"
Padova (escluso domiciliati Vo'),2416,+13),2184,90,142,4207,
Cluster domiciliati Comune di Vò,86,0,17,3,66,,
Treviso,1618,+12),1360,114,144,4132,
Venezia,1308,+15),1114,83,111,4371,
Verona,2438,+33),2196,167,75,3031,
Vicenza,1486,+52),1305,72,109,2667,
Belluno,488,+1),443,19,26,1303,
Rovigo,164,+12),145,4,15,567,
Domicilio fuori Veneto,182,+1),161,4,17,,
Assegnazione in corso,65,+1),65,0,0,,
Struttura di ricovero,"Pazienti  in AREA
NON CRITICA","Δ area non
critica","Pazienti in
TERAPIA
INTENSIVA",Δ Ter Int,"dimessi dal
21.2","decessi dal
21.2*",Δ decessi
Azienda Ospedale Università Padova,105,+5),29,-2,145,27,+2)
Ospedale Sant'Antonio,0,0,0,0,0,1,+1)
"Azienda Ospedaliera Universitaria Integrata
di Verona - Borgo Roma",78,+7),24,0,111,62,0
"Azienda Ospedaliera Universitaria Integrata
di Verona - Borgo Trento",35,-2,31,-1,20,15,0
ULSS 1 - Ospedale Belluno,41,-3,9,-1,32,15,+3)
ULSS 1 - Ospedale Feltre,8,0,0,0,7,5,0
ULSS 2 - Ospedale Treviso,97,-4,23,-1,123,62,+1)
ULSS 2 - Ospedale Oderzo,14,-2,5,-1,9,6,0
ULSS 2 - Ospedale Conegliano,2,-2,8,0,15,14,+1)
ULSS 2 - Ospedale Vittorio Veneto °,139,-2,7,0,51,13,0
ULSS 2 - Ospedale Castelfranco,30,-2,0,0,15,6,0
ULSS 2 - Ospedale Montebelluna,28,-2,8,0,22,8,+1)
Ospedale S. Camillo-Treviso °,49,0,0,0,4,0,0
ULSS 3 - Ospedale Mestre,41,-3,15,0,33,23,+2)
ULSS 3 - Ospedale Venezia,12,0,7,0,12,7,0
ULSS 3 - Ospedale Mirano,0,-1,9,0,7,7,0
ULSS 3 - Ospedale Dolo °,84,-6,14,0,26,23,+2)
ULSS 3 - Ospedale Chioggia,0,0,0,0,0,3,0
Ospedale Villa Salus-Mestre °,35,+4),0,0,17,2,0
ULSS 4 - Ospedale Jesolo °,50,-1,10,-1,26,14,0
Casa di Cura Rizzola,9,0,0,0,2,0,0
ULSS 5 - Ospedale Rovigo,24,0,0,0,11,4,0
ULSS 5 - Ospedale Trecenta °,5,0,9,0,0,0,0
ULSS 6 - Ospedale Schiavonia °,115,0,24,0,100,39,0
ULSS 6 - Ospedale Piove di Sacco,0,0,0,0,1,0,0
ULSS 6 - Ospedale Cittadella,0,0,5,0,5,2,0
ULSS 6 - Ospedale Camposampiero,11,0,0,0,5,4,0
Casa di Cura Villa Maria  - Padova,9,0,0,0,8,1,0
ULSS 7 - Ospedale Santorso °,95,+9),16,0,30,15,0
ULSS 7 - Ospedale Bassano,24,-4,6,0,7,10,0
ULSS 7 - Ospedale Asiago,21,-1,0,0,0,9,0
ULSS 8 - Ospedale Vicenza,72,0,26,0,43,38,0
ULSS 8 - Ospedale Noventa Vicentina,19,0,0,0,11,0,0
ULSS 8 - Ospedale Valdagno,13,0,0,0,1,1,0
ULSS 9 - Ospedale Legnago,73,+3),7,-1,5,23,0
ULSS 9 - Ospedale San Bonifacio,13,+1),7,0,1,5,0
ULSS 9 - Ospedale Villafranca °,118,-5,17,0,38,22,+4)
ULSS 9 - Ospedale Marzana,42,+6),0,0,1,1,+1)
Ospedale Sacro Cuore Don Calabria-Negrar,78,0,10,0,36,19,0
Ospedale P. Pederzoli-Peschiera,47,0,9,-2,24,16,+4)
Ospedale di Comunità Belluno,14,+4),0,0,0,3,0
Ospedale di Comunità  Agordo,12,0,0,0,0,0,0
Centro Servizi Civitas Vitae - Vedelago,29,+29),0,0,0,0,0
Centro Servizi Casa Luigi e Augusta - Ormelle,20,+20),0,0,0,0,0
Ospedale di comunita' Casa di Cura Rizzola,7,0,0,0,0,0,0
Ospedale di comunita' c/o Ospedale di Adria,1,+1),0,0,0,0,0
