"Raggruppamenti sulla base del domicilio
del soggetto positivo SARS-CoV-2","TOTALE CASI
con tampone
positivo -dato
cumulativo","Δ Totale casi
positivi","Casi
attualmente
positivi","Deceduti (in
ospedale +
extra-
ospedale) -
dato
cumulativo","Negativizzati
virologici^ -
dato
cumulativo",,"Soggetti in
ISOLAMENTO
DOMICILIARE
(dato del 02.04
ore 20.00)"
Padova (escluso domiciliati Vo'),2484,+17),2231,94,159,4206,
Cluster domiciliati Comune di Vò,86,0,17,3,66,,
Treviso,1665,+8),1380,118,167,4196,
Venezia,1343,+22),1125,93,125,4409,
Verona,2504,+16),2232,182,90,2800,
Vicenza,1553,+39),1339,77,137,2679,
Belluno,508,+9),458,22,28,1349,
Rovigo,183,+3),162,5,16,599,
Domicilio fuori Veneto,185,+2),163,4,18,,
Assegnazione in corso,70,+1),70,0,0,,
Struttura di ricovero,"Pazienti  in AREA
NON CRITICA","Δ area non
critica","Pazienti in
TERAPIA
INTENSIVA",Δ Ter Int,"dimessi dal
21.2","decessi dal
21.2*",Δ decessi
Azienda Ospedale Università Padova,103,0,31,0,150,27,0
Ospedale Sant'Antonio,0,0,0,0,0,1,0
"Azienda Ospedaliera Universitaria Integrata
di Verona - Borgo Roma",74,-2,24,0,117,65,+1)
"Azienda Ospedaliera Universitaria Integrata
di Verona - Borgo Trento",33,0,31,0,21,15,0
ULSS 1 - Ospedale Belluno,38,-4,9,0,32,17,+2)
ULSS 1 - Ospedale Feltre,10,+2),0,0,7,5,0
ULSS 2 - Ospedale Treviso,86,-5,21,-2,134,63,+1)
ULSS 2 - Ospedale Oderzo,13,-1,5,0,10,6,0
ULSS 2 - Ospedale Conegliano,2,+1),7,-1,15,15,0
ULSS 2 - Ospedale Vittorio Veneto °,138,+1),6,-1,63,14,0
ULSS 2 - Ospedale Castelfranco,28,-2,0,0,18,6,0
ULSS 2 - Ospedale Montebelluna,21,-7,9,+1),28,8,0
Ospedale S. Camillo-Treviso °,49,0,0,0,4,0,0
ULSS 3 - Ospedale Mestre,41,-3,12,-2,38,26,+3)
ULSS 3 - Ospedale Venezia,11,-1,7,0,13,7,0
ULSS 3 - Ospedale Mirano,0,0,9,0,7,7,0
ULSS 3 - Ospedale Dolo °,81,-2,14,0,30,26,+3)
ULSS 3 - Ospedale Chioggia,0,0,0,0,0,3,0
Ospedale Villa Salus-Mestre °,35,+1),0,0,21,2,0
ULSS 4 - Ospedale Jesolo °,46,+1),12,0,28,16,0
Casa di Cura Rizzola,9,0,0,0,3,1,+1)
ULSS 5 - Ospedale Rovigo,25,+1),0,0,11,4,0
ULSS 5 - Ospedale Trecenta °,4,-1,11,+2),1,1,+1)
ULSS 6 - Ospedale Schiavonia °,108,-5,22,0,111,42,+3)
ULSS 6 - Ospedale Piove di Sacco,0,0,0,0,1,0,0
ULSS 6 - Ospedale Cittadella,0,0,5,0,5,2,0
ULSS 6 - Ospedale Camposampiero,10,-1,0,0,5,4,0
Casa di Cura Villa Maria  - Padova,14,+4),0,0,8,1,0
ULSS 7 - Ospedale Santorso °,102,+6),16,0,31,16,+1)
ULSS 7 - Ospedale Bassano,9,-13,6,0,15,11,0
ULSS 7 - Ospedale Asiago,13,-7,0,0,1,10,+1)
ULSS 8 - Ospedale Vicenza,72,+1),26,0,47,39,0
ULSS 8 - Ospedale Noventa Vicentina,22,0,0,0,11,0,0
ULSS 8 - Ospedale Valdagno,13,0,0,0,2,2,0
ULSS 9 - Ospedale Legnago,71,0,5,-2,7,27,+2)
ULSS 9 - Ospedale San Bonifacio,18,0,6,-1,1,7,+2)
ULSS 9 - Ospedale Villafranca °,121,+2),15,-1,38,24,+1)
ULSS 9 - Ospedale Marzana,43,0,0,0,1,1,0
Ospedale Sacro Cuore Don Calabria-Negrar,81,-2,10,0,38,19,0
Ospedale P. Pederzoli-Peschiera,54,+5),8,-1,25,17,+1)
Struttura di ricovero,Pazienti presenti,Δ paz. presenti,dimessi dal 21.2,"decessi dal 21.2
*",Δ decessi
Ospedale di Comunità Belluno,14,0,1,3,0
Ospedale di Comunità  Agordo,12,0,0,1,+1)
Centro Servizi Civitas Vitae - Vedelago,34,+5),0,0,0
Centro Servizi Casa Luigi e Augusta - Ormelle,19,-1,0,1,+1)
Ospedale di Comunità Casa di Cura Rizzola,7,-2,2,0,0
Ospedale di Comunità c/o Ospedale di Adria,1,0,0,0,0
Ospedale di Comunità Marostica,8,+8),0,0,0
