"Raggruppamenti sulla base del domicilio del
soggetto positivo SARS-CoV-2","TOTALE CASI
con tampone
positivo -dato
cumulativo","Δ Totale casi
positivi","Casi
attualmente
positivi","Deceduti (in
ospedale +
extra-
ospedale) -
dato
cumulativo","Negativizzati
virologici^ -
dato
cumulativo",,"Soggetti in
ISOLAMENTO
DOMICILIARE
(dato del 05.04
ore 20.00)"
Padova (escluso domiciliati Vo'),2794,+18),2482,117,195,,4274
Cluster domiciliati Comune di Vò,87,0,17,3,67,,
Treviso,1731,+5),1396,130,205,4072,
Venezia,1508,+21),1248,102,158,4198,
Verona,2792,+37),2489,202,101,2524,
Vicenza,1715,+11),1437,90,188,2620,
Belluno,577,+19),518,27,32,1328,
Rovigo,203,0,178,6,19,579,
Domicilio fuori Veneto,203,-2,173,6,24,,
Assegnazione in corso,88,+1),87,1,0,,
TOTALE REGIONE VENETO,11698,+110),10025,684,989,19595,,
Struttura di ricovero,"Pazienti  in AREA
NON CRITICA","Δ area non
critica","Pazienti in
TERAPIA
INTENSIVA",Δ Ter Int,"dimessi dal
21.2","decessi dal
21.2*",Δ decessi
Azienda Ospedale Università Padova,118,+3),27,-4,160,34,0
Ospedale Sant'Antonio,0,0,0,0,0,1,0
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Roma",70,-5,22,0,127,72,0
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Trento",32,0,31,0,23,16,0
ULSS 1 - Ospedale Belluno,40,+5),9,0,36,18,+1)
ULSS 1 - Ospedale Feltre,8,+1),0,0,9,5,0
ULSS 2 - Ospedale Treviso,83,+8),22,-1,140,69,+2)
ULSS 2 - Ospedale Oderzo,11,-1,6,+1),10,8,0
ULSS 2 - Ospedale Conegliano,4,+3),7,+1),15,16,0
ULSS 2 - Ospedale Vittorio Veneto °,112,-23,6,0,69,13,-2**
ULSS 2 - Ospedale Castelfranco,27,-1,0,0,21,6,0
ULSS 2 - Ospedale Montebelluna,19,-1,9,0,30,9,0
Ospedale S. Camillo-Treviso °,43,-6,0,0,9,1,+1)
ULSS 3 - Ospedale Mestre,34,-4,14,0,43,27,0
ULSS 3 - Ospedale Venezia,10,+1),6,-1,13,9,0
ULSS 3 - Ospedale Mirano,0,0,10,0,7,6,0
ULSS 3 - Ospedale Dolo °,90,+1),11,0,35,30,+2)
ULSS 3 - Ospedale Chioggia,0,0,0,0,0,3,0
Ospedale Villa Salus-Mestre °,51,+5),0,0,22,2,0
ULSS 4 - Ospedale Jesolo °,45,0,11,-2,34,17,0
Casa di Cura Rizzola,10,0,0,0,4,1,0
ULSS 5 - Ospedale Rovigo,11,+3),0,0,16,3,0
ULSS 5 - Ospedale Trecenta °,26,0,12,0,1,3,0
ULSS 5 - Ospedale Adria,1,0,0,0,0,0,0
ULSS 6 - Ospedale Schiavonia °,111,-2,22,0,123,49,+2)
ULSS 6 - Ospedale Piove di Sacco,0,0,0,0,1,0,0
ULSS 6 - Ospedale Cittadella,0,0,5,0,2,2,0
ULSS 6 - Ospedale Camposampiero,5,-7,0,0,0,5,0
ULSS 7 - Ospedale Santorso °,109,-1,15,0,36,21,+3)
ULSS 7 - Ospedale Bassano,9,0,6,0,15,11,0
ULSS 7 - Ospedale Asiago,4,0,0,0,8,10,0
ULSS 8 - Ospedale Vicenza,70,0,20,0,54,45,0
ULSS 8 - Ospedale Noventa Vicentina,22,0,0,0,13,0,0
ULSS 8 - Ospedale Arzignano,0,0,0,0,0,1,0
ULSS 8 - Ospedale Valdagno,17,0,0,0,2,3,0
ULSS 9 - Ospedale Legnago,66,-2,7,0,11,33,+1)
ULSS 9 - Ospedale San Bonifacio,30,+3),6,0,4,9,+1)
ULSS 9 - Ospedale Villafranca °,110,-7,13,0,52,26,+1)
ULSS 9 - Ospedale Marzana,46,+2),0,0,2,1,0
ULSS 9 - Ospedale Bussolengo,5,+5),0,0,0,0,0
ULSS 9 - Ospedale Malcesine,1,+1),0,0,0,0,0
Ospedale Sacro Cuore Don Calabria-Negrar,83,-2,10,0,44,21,+2)
Ospedale P. Pederzoli-Peschiera,44,-4,9,0,34,19,+2)
Struttura di ricovero,Pazienti presenti,Δ paz. presenti,dimessi dal 21.2,"decessi dal 21.2
*",Δ decessi
Ospedale di Comunità Belluno (BL),14,0,3,3,0
Ospedale di Comunità  Agordo (BL),13,0,0,1,0
Centro Servizi Civitas Vitae - Vedelago (TV),34,0,0,0,0
Centro Servizi Casa Luigi e Augusta - Ormelle (TV),21,+1),0,1,0
Ospedale di Comunità Vittorio Veneto,25,+25),5,2,2**
Ospedale di Comunità Casa di Cura Rizzola (VE),8,0,2,0,0
Ospedale di Comunità Villa Maria (PD),14,0,8,1,0
Ospedale di Comunità Camposampiero,7,+7),8,0,0
Ospedale di Comunità Marostica (VI),9,0,0,0,0
TOTALE REGIONE VENETO,145,+33),26,8,2,
