"Raggruppamenti sulla base del domicilio del
soggetto positivo SARS-CoV-2","TOTALE CASI
con tampone
positivo -dato
cumulativo","Δ Totale casi
positivi","Casi
attualmente
positivi","Deceduti (in
ospedale +
extra-
ospedale) -
dato
cumulativo","Negativizzati
virologici -
dato
cumulativo",,"Soggetti in
ISOLAMENTO
DOMICILIARE
(dato del 07.04
ore 20.00)"
Padova (escluso domiciliati Vo'),2999,+30),2548,131,320,4834,
Cluster domiciliati Comune di Vò,87,0,14,3,70,,
Treviso,1863,0,1415,145,303,3742,
Venezia,1695,+65),1285,112,298,3427,
Verona,2951,+31),2561,219,171,2479,
Vicenza,1856,+74),1474,92,290,2585,
Belluno,609,+7),525,30,54,1211,
Rovigo,236,+4),192,10,34,608,
Domicilio fuori Veneto,224,-1,184,7,33,,
Assegnazione in corso,102,+2),101,1,0,,
Struttura di ricovero,"Pazienti  in AREA
NON CRITICA","Δ area non
critica","Pazienti in
TERAPIA
INTENSIVA",Δ Ter Int,"dimessi dal
21.2","decessi dal
21.2*",Δ decessi
Azienda Ospedale Università Padova,113,+1),18,-4,176,39,+2)
Ospedale Sant'Antonio,0,0,0,0,0,1,0
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Roma",64,-5,18,0,134,77,0
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Trento",33,-1,26,0,27,18,0
ULSS 1 - Ospedale Belluno,40,0,9,0,36,21,+2)
ULSS 1 - Ospedale Feltre,4,-4,0,0,11,5,0
ULSS 2 - Ospedale Treviso,70,-11,19,0,155,73,+1)
ULSS 2 - Ospedale Oderzo,10,-1,6,0,13,9,0
ULSS 2 - Ospedale Conegliano,0,-4,7,0,17,17,0
ULSS 2 - Ospedale Vittorio Veneto °,89,-3,6,0,91,16,+1)
ULSS 2 - Ospedale Castelfranco,20,-4,0,0,25,7,0
ULSS 2 - Ospedale Montebelluna,19,-4,6,0,35,9,0
Ospedale S. Camillo-Treviso °,44,+1),0,0,10,1,0
ULSS 3 - Ospedale Mestre,29,-2,15,0,45,28,0
ULSS 3 - Ospedale Venezia,11,+1),6,0,13,10,0
ULSS 3 - Ospedale Mirano,2,0,7,0,7,6,0
ULSS 3 - Ospedale Dolo °,87,+3),11,0,44,33,0
ULSS 3 - Ospedale Chioggia,1,0,0,0,0,3,0
Ospedale Villa Salus-Mestre °,47,-3,0,0,32,3,0
ULSS 4 - Ospedale Jesolo °,43,+1),11,-1,39,20,0
Casa di Cura Rizzola,11,+1),0,0,4,1,0
ULSS 5 - Ospedale Rovigo,11,0,0,0,17,4,0
ULSS 5 - Ospedale Trecenta °,31,0,11,0,2,5,+1)
ULSS 5 - Ospedale Adria,1,0,0,0,0,0,0
ULSS 6 - Ospedale Schiavonia °,120,+8),17,-2,137,52,+1)
ULSS 6 - Ospedale Piove di Sacco,0,0,0,0,1,0,0
ULSS 6 - Ospedale Cittadella,0,0,4,0,2,3,0
ULSS 6 - Ospedale Camposampiero,5,-1,0,0,1,5,0
Casa di Cura Villa Maria- PD,2,+2),0,0,0,0,0
ULSS 7 - Ospedale Santorso °,124,+4),15,+1),47,22,0
ULSS 7 - Ospedale Bassano,6,0,5,0,15,11,0
ULSS 7 - Ospedale Asiago,2,0,0,0,7,10,0
ULSS 8 - Ospedale Vicenza,68,0,20,0,58,45,0
ULSS 8 - Ospedale Noventa Vicentina,21,0,0,0,17,0,0
ULSS 8 - Ospedale Arzignano,0,0,0,0,0,1,0
ULSS 8 - Ospedale Valdagno,17,0,0,0,4,3,0
ULSS 9 - Ospedale Legnago,60,-2,7,0,19,34,0
ULSS 9 - Ospedale San Bonifacio,21,0,7,0,11,9,0
ULSS 9 - Ospedale Villafranca °,111,-4,12,0,67,28,0
ULSS 9 - Ospedale Marzana,55,+2),0,0,2,1,0
ULSS 9 - Ospedale Bussolengo,12,0,0,0,0,0,0
ULSS 9 - Ospedale Malcesine,0,-1,0,0,0,0,0
Ospedale Sacro Cuore Don Calabria-Negrar,84,-2,7,0,50,24,+1)
Ospedale P. Pederzoli-Peschiera,40,+2),7,-2,44,21,0
Struttura di ricovero,Pazienti presenti,Δ paz. presenti,dimessi dal 21.2,"decessi dal 21.2
*",Δ decessi
Ospedale di Comunità Belluno (BL),14,+1),6,3,0
Ospedale di Comunità  Agordo (BL),13,0,0,1,0
Struttura COVID - Vedelago (TV),32,+1),3,1,0
Struttura COVID - Ormelle (TV),24,+1),0,1,0
Ospedale di Comunità Vittorio Veneto,29,-2,8,2,0
Ospedale di Comunità Casa di Cura Rizzola (VE),7,0,3,0,0
Ospedale di Comunità Villa Maria (PD),14,+1),9,1,0
Ospedale di Comunità Camposampiero (PD),7,0,9,0,0
Ospedale di Comunità Marostica (VI),11,0,0,0,0
TOTALE REGIONE VENETO,151,+2),38,9,0,
