"Raggruppamenti sulla base del domicilio del
soggetto positivo SARS-CoV-2","TOTALE CASI
con tampone
positivo -dato
cumulativo","Δ Totale casi
positivi","Casi
attualmente
positivi","Deceduti (in
ospedale +
extra-ospedale)
-dato
cumulativo","Negativizzati
virologici -
dato
cumulativo",,"Soggetti in
ISOLAMENTO
DOMICILIARE
(dato del 15.04
ore 20.00)"
Padova (escluso domiciliati Vo'),3468,+18),2294,186,988,3228,
Cluster domiciliati Comune di Vò,87,0,8,3,76,,
Treviso,2235,+100),1576,190,469,2818,
Venezia,2061,+25),1196,150,715,2063,
Verona,3760,+30),3051,277,432,1839,
Vicenza,2186,+16),1552,141,493,2312,
Belluno,792,+37),649,41,102,1084,
Rovigo,299,+2),213,21,65,558,
Domicilio fuori Veneto,261,+2),183,9,69,,
Assegnazione in corso,70,-1,69,1,0,,
Struttura di ricovero,"Pazienti  in AREA
NON CRITICA","Δ area non
critica","Pazienti in
TERAPIA
INTENSIVA",Δ Ter Int,"dimessi dal
21.2","decessi dal
21.2*",Δ decessi
Azienda Ospedale Università Padova,73,-6,17,0,236,53,0
Ospedale Sant'Antonio,0,0,0,0,0,1,0
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Roma",46,-3,15,0,168,88,+1)
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Trento",22,-1,25,0,43,22,0
ULSS 1 - Ospedale Belluno,40,-3,8,0,55,24,0
ULSS 1 - Ospedale Feltre,0,0,0,0,12,6,0
ULSS 2 - Ospedale Treviso,39,-5,12,0,185,88,0
ULSS 2 - Ospedale Oderzo,9,+1),7,0,16,12,0
ULSS 2 - Ospedale Conegliano,1,+1),3,-2,16,20,0
ULSS 2 - Ospedale Vittorio Veneto °,57,-5,4,0,125,25,+4)
ULSS 2 - Ospedale Castelfranco,4,-2,0,0,37,8,0
ULSS 2 - Ospedale Montebelluna,14,+1),4,-1,40,12,0
Ospedale S. Camillo-Treviso °,49,+1),0,0,10,1,0
Ospedale Riabilitativo  Motta di Livenza - Treviso,4,+1),0,0,0,0,0
ULSS 3 - Ospedale Mestre,28,-1,9,0,60,33,+1)
ULSS 3 - Ospedale Venezia,8,-2,6,0,19,11,0
ULSS 3 - Ospedale Mirano,0,-2,5,0,9,6,0
ULSS 3 - Ospedale Dolo °,81,+2),8,0,60,47,+1)
ULSS 3 - Ospedale Chioggia,2,+1),0,0,0,3,0
Ospedale Villa Salus-Mestre °,48,+2),0,0,55,4,0
ULSS 4 - Ospedale San Donà di Piave,1,0,0,0,0,0,0
ULSS 4 - Ospedale Jesolo °,36,-2,4,0,53,23,0
Casa di Cura Rizzola,10,0,0,0,7,1,0
ULSS 5 - Ospedale Rovigo,5,+2),0,0,20,6,0
ULSS 5 - Ospedale Trecenta °,44,0,9,0,4,15,0
ULSS 5 - Ospedale Adria,1,0,0,0,1,0,0
ULSS 6 - Ospedale Schiavonia °,108,-7,7,-1,183,71,+1)
ULSS 6 - Ospedale Piove di Sacco,0,0,0,0,1,0,0
ULSS 6 - Ospedale Cittadella,0,0,3,-1,2,5,+2)
ULSS 6 - Ospedale Camposampiero,4,0,0,0,1,6,0
ULSS 7 - Ospedale Santorso °,139,-6,8,-1,84,38,+4)
ULSS 7 - Ospedale Bassano,0,-1,2,0,20,12,0
ULSS 7 - Ospedale Asiago,1,0,0,0,7,10,0
ULSS 8 - Ospedale Vicenza,54,+3),16,-3,80,56,0
ULSS 8 - Ospedale Noventa Vicentina,23,0,0,0,26,0,0
ULSS 8 - Ospedale Arzignano,0,0,0,0,0,1,0
ULSS 8 - Ospedale Valdagno,19,0,0,0,8,3,0
ULSS 9 - Ospedale Legnago,58,+1),7,+1),34,37,0
ULSS 9 - Ospedale San Bonifacio,11,-5,0,0,20,18,+1)
ULSS 9 - Ospedale Villafranca °,102,-7,10,0,94,45,+2)
ULSS 9 - Ospedale Marzana,67,0,0,0,3,2,0
ULSS 9 - Ospedale Bussolengo,29,+5),0,0,8,1,0
Ospedale Sacro Cuore Don Calabria-Negrar,66,-1,8,0,80,26,0
Ospedale P. Pederzoli-Peschiera,51,+5),3,-1,67,29,+1)
Istituto Oncologico Veneto,1,0,0,0,0,0,0
Struttura di ricovero,Pazienti presenti,Δ paz. presenti,dimessi dal 21.2,decessi dal 21.2*,Δ decessi
Ospedale di Comunità Belluno (BL),13,-2,14,6,+1)
Ospedale di Comunità  Agordo (BL),14,0,4,1,0
Ospedale di Comunità di Castelfranco  (TV),1,-1,1,0,0
Struttura COVID - Vedelago (TV),27,0,10,3,0
Struttura COVID - Ormelle (TV),23,-1,4,4,0
Ospedale di Comunità Vittorio Veneto (TV),25,-1,19,2,0
Ospedale di Comunità SS. Giovanni e Paolo (VE),1,0,0,0,0
Ospedale di Comunità Casa di Cura Rizzola (VE),10,0,3,0,0
Ospedale di Cinto Caomaggiore (VE),1,+1),0,0,0
Ospedale di Comunità Villa Maria (PD),7,-3,17,1,0
Ospedale di Comunità Camposampiero (PD),9,+1),11,0,0
Ospedale di Comunità Marostica (VI),19,+1),2,2,0
TOTALE REGIONE VENETO,150,-5,85,19,+1),
