"Raggruppamenti sulla base del domicilio delsoggetto positivo SARS-CoV-2","TOTALE CASIcon tamponepositivo -datocumulativo","Δ Totale casipositivi","Casiattualmentepositivi","Deceduti (inospedale +extra-ospedale)-datocumulativo","Negativizzativirologici -datocumulativo",,"Soggetti inISOLAMENTODOMICILIARE(dato del 19.04ore 20.00)"
Padova (escluso domiciliati Vo'),3606,+26),1887,200,1519,1856,
Cluster domiciliati Comune di Vò,87,0,8,3,76,,
Treviso,2325,+10),1387,208,730,2285,
Venezia,2177,+34),1018,162,997,1993,
Verona,3998,+24),3023,304,671,1580,
Vicenza,2379,+40),1594,151,634,2263,
Belluno,904,+48),678,51,175,1121,
Rovigo,307,+1),215,23,69,560,
Domicilio fuori Veneto,278,+7),186,9,83,,
Assegnazione in corso,66,+2),65,1,0,,
Struttura di ricovero,"Pazienti  in AREANON CRITICA^","Δ area noncritica","Pazienti inTERAPIAINTENSIVA ^",Δ Ter Int,"Negativizzativirologiciattualmentericoverati**","dimessi dal21.2","decessi dal21.2*",Δ decessi
Azienda Ospedale Università Padova,66,+3),13,-1,36,250,56,0
Ospedale Sant'Antonio,0,0,0,0,0,0,1,0
"Azienda Ospedaliera Universitaria Integrata diVerona - Borgo Roma",47,+1),15,0,14,176,95,+2)
"Azienda Ospedaliera Universitaria Integrata diVerona - Borgo Trento",14,-2,25,0,12,50,25,0
ULSS 1 - Ospedale Belluno,39,+1),7,0,0,63,30,+2)
ULSS 1 - Ospedale Feltre,0,0,0,0,0,12,6,0
ULSS 2 - Ospedale Treviso,38,-2,11,0,10,186,92,+3)
ULSS 2 - Ospedale Oderzo,5,-1,7,0,2,16,16,+1)
ULSS 2 - Ospedale Conegliano,2,0,1,0,1,16,20,0
ULSS 2 - Ospedale Vittorio Veneto °,47,-1,4,0,13,136,26,+1)
ULSS 2 - Ospedale Castelfranco,3,0,0,0,0,38,8,0
ULSS 2 - Ospedale Montebelluna,11,0,2,0,6,44,12,0
Ospedale S. Camillo-Treviso °,49,0,0,0,5,10,1,0
Ospedale Riabilitativo  Motta di Livenza - Treviso,3,0,0,0,3,0,0,0
ULSS 3 - Ospedale Mestre,25,-1,8,0,22,63,33,0
ULSS 3 - Ospedale Venezia,10,0,4,0,7,20,11,0
ULSS 3 - Ospedale Mirano,0,0,2,-1,2,9,7,0
ULSS 3 - Ospedale Dolo °,77,+6),6,0,25,72,53,+2)
ULSS 3 - Ospedale Chioggia,1,+1),0,0,0,1,3,0
Ospedale Villa Salus-Mestre °,48,-5,0,0,14,62,4,0
ULSS 4 - Ospedale San Donà di Piave,1,0,0,0,1,0,0,0
ULSS 4 - Ospedale Jesolo °,33,-1,4,0,16,60,23,0
Casa di Cura Rizzola,10,0,0,0,8,7,1,0
ULSS 5 - Ospedale Rovigo,2,+1),0,0,1,22,5,0
ULSS 5 - Ospedale Trecenta °,47,0,8,0,13,4,16,0
ULSS 5 - Ospedale Adria,2,0,0,0,2,1,0,0
ULSS 6 - Ospedale Schiavonia °,113,+3),6,-1,3,190,76,+5)
ULSS 6 - Ospedale Piove di Sacco,0,0,0,0,0,1,0,0
ULSS 6 - Ospedale Cittadella,0,0,2,0,0,2,7,0
ULSS 6 - Ospedale Camposampiero,5,0,0,0,1,1,6,0
ULSS 6 - Ospedale Conselve,1,0,0,0,1,0,0,0
ULSS 7 - Ospedale Santorso °,129,+1),8,0,39,100,42,0
ULSS 7 - Ospedale Bassano,0,0,2,0,0,20,12,0
ULSS 7 - Ospedale Asiago,1,0,0,0,0,7,10,0
ULSS 8 - Ospedale Vicenza,46,-1,16,0,4,88,61,0
ULSS 8 - Ospedale Noventa Vicentina,21,-1,0,0,1,29,1,0
ULSS 8 - Ospedale Arzignano,0,0,0,0,0,0,1,0
ULSS 8 - Ospedale Valdagno,14,-2,0,0,0,13,4,+1)
ULSS 9 - Ospedale Legnago,50,+1),5,-1,4,43,41,+1)
ULSS 9 - Ospedale San Bonifacio,7,-2,0,0,0,21,20,+2)
ULSS 9 - Ospedale Villafranca °,105,+10),14,0,17,108,51,+1)
ULSS 9 - Ospedale Marzana,66,0,0,0,19,3,3,0
ULSS 9 - Ospedale Bussolengo,22,0,0,0,7,15,1,0
ULSS 9 - Ospedale Bovolone,1,0,0,0,1,0,0,0
Ospedale Sacro Cuore Don Calabria-Negrar,59,0,8,0,15,90,29,0
Ospedale P. Pederzoli-Peschiera,52,0,2,0,2,68,30,0
Istituto Oncologico Veneto,1,0,0,0,1,0,0,0
Struttura di ricovero,"Pazientipresenti^",Δ paz. presenti,"Negativizzativirologiciattualmentericoverati**",dimessi dal 21.2,"decessi dal21.2*",Δ decessi
Ospedale di Comunità Belluno (BL),14,0,0,16,7,+1)
Ospedale di Comunità  Agordo (BL),15,+1),2,6,1,0
Ospedale di Comunità di Castelfranco  (TV),2,0,0,1,0,0
Struttura COVID - Vedelago (TV),27,0,5,10,3,0
Struttura COVID - Ormelle (TV),14,0,11,13,4,0
Ospedale di Comunità Vittorio Veneto (TV),24,0,8,21,2,0
Ospedale di Comunità SS. Giovanni e Paolo (VE),1,0,0,0,0,0
Ospedale di Comunità Casa di Cura Rizzola (VE),10,0,4,3,0,0
Ospedale di Cinto Caomaggiore (VE),1,0,1,0,0,0
Ospedale di Comunità Villa Maria (PD),11,0,6,17,1,0
Ospedale di Comunità Camposampiero (PD),8,0,4,12,0,0
Ospedale di Comunità Marostica (VI),15,0,1,6,2,0
