"Raggruppamenti sulla base del domicilio del
soggetto positivo SARS-CoV-2","TOTALE CASI
con tampone
positivo -dato
cumulativo","Δ Totale casi
positivi","Casi
attualmente
positivi","Deceduti (in
ospedale +
extra-
ospedale) -
dato
cumulativo","Negativizzati
virologici -
dato
cumulativo",,"Soggetti in
ISOLAMENTO
DOMICILIARE
(dato del 09.05
ore 20.00)"
Padova (escluso domiciliati Vo'),3809,+2),486,252,3071,,452
Cluster domiciliati Comune di Vò,88,0,1,3,84,,
Treviso,2609,+2),841,280,1488,1030,
Venezia,2598,+2),475,248,1875,684,
Verona,4944,0,2036,471,2437,915,
Vicenza,2772,0,872,268,1632,678,
Belluno,1148,0,480,96,572,843,
Rovigo,432,0,184,31,217,412,
Domicilio fuori Veneto,295,0,144,12,139,,
Assegnazione in corso 35,+2),35,0,0,
,,,,,,,,
Struttura di ricovero,"Pazienti
attualmente
positivi in AREA
NON CRITICA","Pazienti
attualmente
positivi in
TERAPIA
INTENSIVA","dimessi dal 21.2
^","decessi dal
21.2*^",,"Δ pazienti
attualmente
positivi  in area
non critica","Δ  pazienti
attualmente
positivi in Ter Int",Δ decessi
Azienda Ospedale Università Padova,10,1,299,64,0,0,0,
Ospedale Sant'Antonio,0,0,0,1,0,0,0,
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Roma",5,0,210,113,-1,0,0,
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Trento",8,6,76,32,0,0,0,
ULSS 1 - Ospedale Belluno,9,2,86,50,+1),-1,0,
ULSS 1 - Ospedale Feltre,0,0,12,6,0,0,0,
ULSS 2 - Ospedale Treviso,10,3,215,105,0,0,0,
ULSS 2 - Ospedale Oderzo,0,0,21,21,0,0,0,
ULSS 2 - Ospedale Conegliano,0,1,18,20,0,0,0,
ULSS 2 - Ospedale Vittorio Veneto °,24,0,189,33,0,0,0,
ULSS 2 - Ospedale Castelfranco,0,0,40,8,0,0,0,
ULSS 2 - Ospedale Montebelluna,0,0,51,12,0,0,0,
Ospedale S. Camillo-Treviso °,0,0,53,4,0,0,0,
Ospedale Riabilitativo  Motta di Livenza - Treviso,0,0,0,0,0,0,0,
Casa di Cura Giovanni XXIII Monastier -TV,0,0,0,0,0,0,0,
ULSS 3 - Ospedale Mestre,1,0,76,40,0,0,+1),
ULSS 3 - Ospedale Venezia,0,0,26,15,0,0,0,
ULSS 3 - Ospedale Mirano,0,0,9,9,0,0,0,
ULSS 3 - Ospedale Dolo °,58,4,112,95,+1),0,0,
ULSS 3 - Ospedale Chioggia,0,0,2,3,0,0,0,
ULSS 3 - Ospedale di Noale,0,0,0,3,0,0,0,
Ospedale Villa Salus (VE)°,20,0,97,10,0,0,0,
Casa di cura San Marco - Mestre (VE),0,0,0,0,0,0,0,
ULSS 4 - Ospedale Jesolo °,13,2,84,26,0,0,0,
Casa di Cura Rizzola,0,0,16,1,0,0,0,
ULSS 5 - Ospedale Rovigo,0,0,24,5,0,0,0,
ULSS 5 - Ospedale Trecenta °,15,0,28,24,+1),0,0,
ULSS 5 - Ospedale Adria,0,0,3,0,0,0,0,
ULSS 6 - Ospedale Schiavonia °,31,6,254,100,-5,+1),+1),
ULSS 6 - Ospedale Piove di Sacco,1,0,1,0,0,0,0,
ULSS 6 - Ospedale Cittadella,1,0,2,7,0,0,0,
ULSS 6 - Ospedale Camposampiero,0,0,3,7,0,0,0,
ULSS 6 - Ospedale Conselve,0,0,0,0,0,0,0,
Casa di cura Villa Maria (PD),0,0,0,0,0,0,0,
ULSS 7 - Ospedale Santorso °,45,2,204,72,0,0,+2),
ULSS 7 - Ospedale Bassano,0,0,20,13,0,0,0,
ULSS 7 - Ospedale Asiago,0,0,8,11,0,0,0,
ULSS 8 - Ospedale Vicenza,26,2,128,93,0,0,0,
ULSS 8 - Ospedale Noventa Vicentina,4,0,50,2,0,0,0,
ULSS 8 - Ospedale Arzignano,0,0,0,1,0,0,0,
ULSS 8 - Ospedale Valdagno,0,0,24,5,0,0,0,
ULSS 9 - Ospedale Legnago,9,1,65,49,0,0,0,
ULSS 9 - Ospedale San Bonifacio,7,0,26,25,0,0,0,
ULSS 9 - Ospedale Villafranca °,60,4,153,97,+5),0,0,
ULSS 9 - Ospedale Marzana,16,0,48,6,0,0,0,
ULSS 9 - Ospedale Bussolengo,16,0,41,3,0,0,0,
ULSS 9 - Ospedale San Biagio di Bovolone,0,0,0,0,0,0,0,
Ospedale Sacro Cuore Don Calabria-Negrar,12,2,128,35,-1,0,0,
Ospedale P. Pederzoli-Peschiera,8,1,86,38,0,0,0,
Struttura di ricovero,"Pazienti
attualmente
positivi",dimessi dal 21.2^,"decessi dal 21.2
*^",,"Δ paz.
attualmente
positivi",Δ decessi
Ospedale di Comunità Belluno (BL),16,26,15,,0,0
Ospedale di Comunità  Agordo (BL),15,19,1,0,0,
Ospedale di Comunità di Castelfranco  (TV),0,4,0,0,0,
Struttura COVID - Vedelago (TV),17,32,3,0,0,
Struttura COVID - Ormelle (TV),0,24,4,0,0,
Ospedale di Comunità Vittorio Veneto (TV),7,30,2,0,0,
Ospedale di Comunità SS. Giovanni e Paolo (VE),0,0,0,0,0,
Ospedale di Comunità Casa di Cura Rizzola (VE),0,11,1,0,0,
Ospedale di Cinto Caomaggiore (VE),1,0,0,0,0,
Ospedale di Comunità Villa Maria (PD),8,33,1,0,0,
Ospedale di Comunità Camposampiero (PD),5,17,1,0,0,
Ospedale di Comunità Montagnana (PD),0,0,0,0,0,
Ospedale di Comunità Marostica (VI),9,13,3,0,0,
