"Raggruppamenti sulla base del domicilio del
soggetto positivo SARS-CoV-2","TOTALE CASI
con tampone
positivo -dato
cumulativo","Δ Totale casi
positivi","Casi
attualmente
positivi","Deceduti (in
ospedale +
extra-
ospedale) -
dato
cumulativo","Negativizzati
virologici -
dato
cumulativo",,"Soggetti in
ISOLAMENTO
DOMICILIARE
(dato del 10.05
ore 20.00)",
Padova (escluso domiciliati Vo'),3813,+1),462,256,3095,,452,
Cluster domiciliati Comune di Vò,88,0,1,3,84,,,
Treviso,2613,+4),825,283,1505,997,,
Venezia,2604,+5),440,250,1914,727,,
Verona,4948,+2),2006,476,2466,939,,
Vicenza,2774,+1),831,272,1671,696,,
Belluno,1149,+1),472,98,579,802,,
Rovigo,433,0,160,31,242,402,,
Domicilio fuori Veneto,296,-2,147,12,137,,,
Struttura di ricovero,"Pazienti
attualmente
positivi in AREA
NON CRITICA","Pazienti
attualmente
positivi in
TERAPIA
INTENSIVA","dimessi dal 21.2
^","decessi dal
21.2*^",,"Δ pazienti
attualmente
positivi  in area
non critica","Δ  pazienti
attualmente
positivi in Ter Int",Δ decessi,
Azienda Ospedale Università Padova,10,2,301,64,,0,0,0,
Ospedale Sant'Antonio,0,0,0,1,0,0,0,,
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Roma",6,0,211,113,0,0,0,,
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Trento",8,6,76,32,0,0,0,,
ULSS 1 - Ospedale Belluno,10,2,86,50,+1),0,0,,
ULSS 1 - Ospedale Feltre,0,0,12,6,0,0,0,,
ULSS 2 - Ospedale Treviso,11,3,218,105,+1),0,0,,
ULSS 2 - Ospedale Oderzo,0,0,21,21,0,0,0,,
ULSS 2 - Ospedale Conegliano,0,1,18,20,0,0,0,,
ULSS 2 - Ospedale Vittorio Veneto °,26,0,189,33,+2),0,0,,
ULSS 2 - Ospedale Castelfranco,0,0,40,8,0,0,0,,
ULSS 2 - Ospedale Montebelluna,0,0,51,12,0,0,0,,
Ospedale S. Camillo-Treviso °,0,0,53,4,0,0,0,,
Ospedale Riabilitativo  Motta di Livenza - Treviso,0,0,0,0,0,0,0,,
Casa di Cura Giovanni XXIII Monastier -TV,0,0,1,0,0,0,0,,
ULSS 3 - Ospedale Mestre,1,0,76,41,0,0,+1),,
ULSS 3 - Ospedale Venezia,0,0,26,15,0,0,0,,
ULSS 3 - Ospedale Mirano,0,0,9,9,0,0,0,,
ULSS 3 - Ospedale Dolo °,57,4,114,95,0,0,0,,
ULSS 3 - Ospedale Chioggia,0,0,2,3,0,0,0,,
ULSS 3 - Ospedale di Noale,0,0,0,3,0,0,0,,
Ospedale Villa Salus (VE)°,19,0,97,10,-1,0,0,,
Casa di cura San Marco - Mestre (VE),0,0,0,0,0,0,0,,
ULSS 4 - Ospedale Jesolo °,12,2,84,26,-1,0,0,,
Casa di Cura Rizzola,0,0,16,1,0,0,0,,
ULSS 5 - Ospedale Rovigo,0,0,24,5,0,0,0,,
ULSS 5 - Ospedale Trecenta °,14,0,30,24,0,0,0,,
ULSS 5 - Ospedale Adria,0,0,3,0,0,0,0,,
ULSS 6 - Ospedale Schiavonia °,27,6,259,101,-2,0,+1),,
ULSS 6 - Ospedale Piove di Sacco,1,0,1,0,0,0,0,,
ULSS 6 - Ospedale Cittadella,0,0,2,7,0,0,0,,
ULSS 6 - Ospedale Camposampiero,0,0,3,7,0,0,0,,
ULSS 6 - Ospedale Conselve,0,0,0,0,0,0,0,,
Casa di cura Villa Maria (PD),0,0,0,0,0,0,0,,
ULSS 7 - Ospedale Santorso °,47,2,207,74,+2),0,+2),,
ULSS 7 - Ospedale Bassano,0,0,20,13,0,0,0,,
ULSS 7 - Ospedale Asiago,0,0,8,11,0,0,0,,
ULSS 8 - Ospedale Vicenza,25,2,129,94,0,0,0,,
ULSS 8 - Ospedale Noventa Vicentina,4,0,50,2,0,0,0,,
ULSS 8 - Ospedale Arzignano,0,0,0,1,0,0,0,,
ULSS 8 - Ospedale Valdagno,0,0,24,5,0,0,0,,
ULSS 9 - Ospedale Legnago,9,1,66,49,0,0,0,,
ULSS 9 - Ospedale San Bonifacio,7,0,26,25,0,0,0,,
ULSS 9 - Ospedale Villafranca °,53,2,157,98,-4,-2,+1),,
ULSS 9 - Ospedale Marzana,16,0,48,6,0,0,0,,
ULSS 9 - Ospedale Bussolengo,13,0,46,3,-3,0,0,,
ULSS 9 - Ospedale San Biagio di Bovolone,0,0,0,0,0,0,0,,
Ospedale Sacro Cuore Don Calabria-Negrar,11,2,128,35,0,0,0,,
Ospedale P. Pederzoli-Peschiera,8,1,88,38,0,0,0,,
Istituto Oncologico Veneto,0,0,2,1,0,0,0,,,
Struttura di ricovero,"Pazienti
attualmente
positivi",dimessi dal 21.2^,"decessi dal 21.2
*^",,"Δ paz.
attualmente
positivi",Δ decessi,
Ospedale di Comunità Belluno (BL),15,26,16,,0,+1),
Ospedale di Comunità  Agordo (BL),13,20,1,-2,0,,
Ospedale di Comunità Alano di Piave (BL),2,0,0,+2),0,,
Ospedale di Comunità di Castelfranco  (TV),0,5,0,0,0,,
Struttura COVID - Vedelago (TV),17,32,3,0,0,,
Struttura COVID - Ormelle (TV),0,24,4,0,0,,
Ospedale di Comunità Vittorio Veneto (TV),7,30,2,0,0,,
Ospedale di Comunità SS. Giovanni e Paolo (VE),0,0,0,0,0,,
Ospedale di Comunità Casa di Cura Rizzola (VE),0,11,1,0,0,,
Ospedale di Cinto Caomaggiore (VE),0,0,0,-1,0,,
Ospedale di Comunità Villa Maria (PD),8,34,1,0,0,,
Ospedale di Comunità Camposampiero (PD),5,17,1,0,0,,
Ospedale di Comunità Montagnana (PD),0,0,0,0,0,,
Ospedale di Comunità Marostica (VI),9,13,4,-1,+1),,
Ospedale di Comunità Valleggio sul Mincio,0,0,0,0,0,,
