"Raggruppamenti sulla base del domicilio del
soggetto positivo SARS-CoV-2","TOTALE CASI
con tampone
positivo -dato
cumulativo","Δ Totale casi
positivi","Casi
attualmente
positivi","Deceduti (in
ospedale +
extra-
ospedale) -
dato
cumulativo","Negativizzati
virologici -
dato
cumulativo",,"Soggetti in
ISOLAMENTO
DOMICILIARE
(dato del 11.05
ore 20.00)",
Padova (escluso domiciliati Vo'),3815,0,407,259,3149,,428,
Cluster domiciliati Comune di Vò,88,0,1,3,84,,,
Treviso,2613,0,820,283,1510,962,,
Venezia,2615,+4),425,256,1934,618,,
Verona,4959,+2),1863,481,2615,963,,
Vicenza,2788,+1),817,280,1691,654,,
Belluno,1150,0,459,99,592,770,,
Rovigo,433,0,156,32,245,318,,
Domicilio fuori Veneto,302,+7),150,12,140,,,
Assegnazione in corso,31,-2,31,0,0,,,
Struttura di ricovero,"Pazienti
attualmente
positivi in AREA
NON CRITICA","Pazienti
attualmente
positivi in
TERAPIA
INTENSIVA","dimessi dal 21.2
^","decessi dal
21.2*^",,"Δ pazienti
attualmente
positivi  in area
non critica","Δ  pazienti
attualmente
positivi in Ter Int",Δ decessi
Azienda Ospedale Università Padova,8,2,302,64,,0,0,0
Ospedale Sant'Antonio,0,0,0,1,0,0,0,
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Roma",4,0,213,113,0,0,0,
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Trento",8,4,76,32,0,0,0,
ULSS 1 - Ospedale Belluno,10,2,86,50,0,0,0,
ULSS 1 - Ospedale Feltre,0,0,12,6,0,0,0,
ULSS 2 - Ospedale Treviso,10,2,219,105,-1,0,0,
ULSS 2 - Ospedale Oderzo,0,0,21,21,0,0,0,
ULSS 2 - Ospedale Conegliano,0,1,18,20,0,0,0,
ULSS 2 - Ospedale Vittorio Veneto °,24,0,190,33,0,0,0,
ULSS 2 - Ospedale Castelfranco,0,0,40,8,0,0,0,
ULSS 2 - Ospedale Montebelluna,0,0,51,12,0,0,0,
Ospedale S. Camillo-Treviso °,0,0,53,4,0,0,0,
Ospedale Riabilitativo  Motta di Livenza - Treviso,0,0,0,0,0,0,0,
Casa di Cura Giovanni XXIII Monastier -TV,0,0,1,0,0,0,0,
ULSS 3 - Ospedale Mestre,1,0,75,41,0,0,0,
ULSS 3 - Ospedale Venezia,0,0,27,15,0,0,0,
ULSS 3 - Ospedale Mirano,0,0,9,9,0,0,0,
ULSS 3 - Ospedale Dolo °,56,4,119,97,0,0,+2),
ULSS 3 - Ospedale Chioggia,0,0,2,3,0,0,0,
ULSS 3 - Ospedale di Noale,0,0,0,4,0,0,+1),
Ospedale Villa Salus (VE)°,20,0,99,11,+1),0,0,
Casa di cura San Marco - Mestre (VE),0,0,0,0,0,0,0,
