"Raggruppamenti sulla base del domicilio delsoggetto positivo SARS-CoV-2","TOTALE CASIcon tamponepositivo -datocumulativo","Δ Totale casipositivi","Casiattualmentepositivi","Deceduti (inospedale +extra-ospedale) -datocumulativo","Negativizzativirologici -datocumulativo",,"Soggetti inISOLAMENTODOMICILIARE(dato del 17.05ore 20.00)"
Padova (escluso domiciliati Vo'),3827,0,300,268,3259,,355
Cluster domiciliati Comune di Vò,88,0,1,3,84,,
Treviso,2643,+2),688,303,1652,732,
Venezia,2634,+1),281,271,2082,497,
Verona,5015,+7),1341,519,3155,1055,
Vicenza,2817,-1,663,298,1856,465,
Belluno,1153,0,323,105,725,576,
Rovigo,440,+1),72,34,334,190,
Domicilio fuori Veneto,309,0,144,13,152,,
Assegnazione in corso,34,0,34,0,0,,
Struttura di ricovero,"Pazientiattualmentepositivi in AREANON CRITICA","Pazientiattualmentepositivi inTERAPIAINTENSIVA","dimessi dal 21.2^","decessi dal21.2*^",,"Δ pazientiattualmentepositivi  in areanon critica","Δ  pazientiattualmentepositivi in Ter Int",Δ decessi
Azienda Ospedale Università Padova,5,2,306,65,,-1,0,0
Ospedale Sant'Antonio,0,0,0,1,0,0,0,
"Azienda Ospedaliera Universitaria Integrata diVerona - Borgo Roma",4,0,213,113,0,0,0,
"Azienda Ospedaliera Universitaria Integrata diVerona - Borgo Trento",4,1,80,33,0,0,0,
ULSS 1 - Ospedale Belluno,8,0,89,52,0,-1,+1),
ULSS 1 - Ospedale Feltre,0,0,12,6,0,0,0,
ULSS 2 - Ospedale Treviso,4,1,220,107,-1,0,+1),
ULSS 2 - Ospedale Oderzo,0,0,20,21,0,0,0,
ULSS 2 - Ospedale Conegliano,0,0,18,21,0,0,0,
ULSS 2 - Ospedale Vittorio Veneto °,18,0,196,34,+3),0,0,
ULSS 2 - Ospedale Castelfranco,0,0,40,8,0,0,0,
ULSS 2 - Ospedale Montebelluna,0,0,51,12,0,0,0,
Ospedale S. Camillo-Treviso °,0,0,52,4,0,0,0,
Ospedale Riabilitativo  Motta di Livenza - Treviso,0,0,2,0,0,0,0,
Casa di Cura Giovanni XXIII Monastier -TV,0,0,1,0,0,0,0,
ULSS 3 - Ospedale Mestre,0,0,75,41,0,0,0,
ULSS 3 - Ospedale Venezia,0,0,28,15,0,0,0,
ULSS 3 - Ospedale Mirano,0,0,8,10,0,0,0,
ULSS 3 - Ospedale Dolo °,33,5,126,105,-2,0,+1),
ULSS 3 - Ospedale Chioggia,0,0,2,3,0,0,0,
ULSS 3 - Ospedale di Noale,0,0,0,4,0,0,0,
Ospedale Villa Salus (VE)°,25,0,100,13,+1),0,0,
Casa di cura San Marco - Mestre (VE),0,0,0,0,0,0,0,
ULSS 4 - Ospedale Jesolo °,6,0,97,29,0,0,0,
ULSS 4 - Ospedale Portogruaro,0,0,0,1,0,0,0,
Casa di Cura Rizzola,0,0,15,1,0,0,0,
ULSS 5 - Ospedale Rovigo,1,0,26,5,0,0,0,
ULSS 5 - Ospedale Trecenta °,7,0,36,26,+1),0,0,
ULSS 5 - Ospedale Adria,0,0,4,0,0,0,0,
ULSS 6 - Ospedale Schiavonia °,17,2,271,104,0,-2,+1),
ULSS 6 - Ospedale Piove di Sacco,0,0,2,0,0,0,0,
ULSS 6 - Ospedale Cittadella,0,0,2,7,0,0,0,
ULSS 6 - Ospedale Camposampiero,2,0,3,7,0,0,0,
ULSS 6 - Ospedale Conselve,0,0,0,0,0,0,0,
Casa di cura Villa Maria (PD),0,0,1,0,0,0,0,
ULSS 7 - Ospedale Santorso °,26,0,242,80,-1,-1,0,
ULSS 7 - Ospedale Bassano,0,0,20,13,0,0,0,
ULSS 7 - Ospedale Asiago,0,0,8,11,0,0,0,
ULSS 8 - Ospedale Vicenza,23,1,138,99,+1),0,-1,
ULSS 8 - Ospedale Noventa Vicentina,0,0,58,2,0,0,0,
ULSS 8 - Ospedale Arzignano,0,0,0,1,0,0,0,
ULSS 8 - Ospedale Valdagno,0,0,23,5,0,0,0,
ULSS 9 - Ospedale Legnago,0,1,69,49,0,0,0,
ULSS 9 - Ospedale San Bonifacio,3,0,29,26,0,0,0,
ULSS 9 - Ospedale Villafranca °,34,1,179,107,0,0,+1),
ULSS 9 - Ospedale Marzana,10,0,50,8,0,0,+1),
ULSS 9 - Ospedale Bussolengo,17,0,54,3,-1,0,0,
ULSS 9 - Ospedale San Biagio di Bovolone,0,0,0,0,0,0,0,
Ospedale Sacro Cuore Don Calabria-Negrar,10,2,132,36,0,0,0,
Ospedale P. Pederzoli-Peschiera,6,2,98,38,0,0,0,
Istituto Oncologico Veneto,0,0,2,1,0,0,0,
Struttura di ricovero,"Pazientiattualmentepositivi",dimessi dal 21.2^,"decessi dal 21.2*^",,"Δ paz.attualmentepositivi",Δ decessi,
Ospedale di Comunità Belluno (BL),10,28,17,,0,0,
Ospedale di Comunità  Agordo (BL),9,24,1,0,0,,
Ospedale di Comunità Alano di Piave (BL),0,0,0,0,0,,
Ospedale di Comunità di Castelfranco  (TV),0,5,0,0,0,,
Struttura COVID - Vedelago (TV),11,35,4,-1,0,,
Struttura COVID - Ormelle (TV),0,24,4,0,0,,
Ospedale di Comunità Vittorio Veneto (TV),8,33,2,0,0,,
Ospedale di Comunità SS. Giovanni e Paolo (VE),0,0,0,0,0,,
Ospedale di Comunità Casa di Cura Rizzola (VE),0,11,1,0,0,,
Ospedale di Cinto Caomaggiore (VE),1,0,0,0,0,,
Ospedale di Comunità Villa Maria (PD),5,36,1,0,0,,
Ospedale di Comunità Conselve (PD),0,0,0,,,,
Ospedale di Comunità Camposampiero (PD),6,19,1,0,0,,
Ospedale di Comunità Montagnana (PD),0,0,0,0,0,,
Ospedale di Comunità Marostica (VI),7,13,5,0,0,,
Ospedale di Comunità Valeggio sul Mincio,0,0,0,0,0,,
