"Raggruppamenti sulla base del domicilio delsoggetto positivo SARS-CoV-2","TOTALE CASIcon tamponepositivo -datocumulativo","Δ Totale casipositivi","Casiattualmentepositivi","Deceduti (inospedale +extra-ospedale) -datocumulativo","Negativizzativirologici -datocumulativo",,"Soggetti inISOLAMENTODOMICILIARE(dato del 18.05ore 20.00)"
Padova (escluso domiciliati Vo'),3830,+2),261,270,3299,,339
Cluster domiciliati Comune di Vò,88,0,1,3,84,,
Treviso,2645,+1),686,303,1656,665,
Venezia,2638,+2),256,275,2107,530,
Verona,5042,+2),1239,528,3275,953,
Vicenza,2825,+1),643,299,1883,446,
Belluno,1153,0,308,105,740,530,
Rovigo,440,0,71,34,335,176,
Domicilio fuori Veneto,309,-2,138,13,158,,
Assegnazione in corso,33,0,33,0,0,,
"",,,,,,,,
Struttura di ricovero,"Pazientiattualmentepositivi in AREANON CRITICA","Pazientiattualmentepositivi inTERAPIAINTENSIVA","dimessi dal 21.2^","decessi dal21.2*^",,"Δ pazientiattualmentepositivi  in areanon critica","Δ  pazientiattualmentepositivi in Ter Int",Δ decessi
Azienda Ospedale Università Padova,5,2,307,65,,0,0,0
Ospedale Sant'Antonio,0,0,0,1,0,0,0,
"Azienda Ospedaliera Universitaria Integrata diVerona - Borgo Roma",3,0,213,113,-2,0,0,
"Azienda Ospedaliera Universitaria Integrata diVerona - Borgo Trento",4,2,81,33,0,+1),0,
ULSS 1 - Ospedale Belluno,8,0,89,52,0,0,0,
ULSS 1 - Ospedale Feltre,0,0,12,6,0,0,0,
ULSS 2 - Ospedale Treviso,6,1,219,107,+2),0,0,
ULSS 2 - Ospedale Oderzo,0,0,20,21,0,0,0,
ULSS 2 - Ospedale Conegliano,0,0,18,21,0,0,0,
ULSS 2 - Ospedale Vittorio Veneto °,16,0,200,34,-2,0,0,
ULSS 2 - Ospedale Castelfranco,0,0,40,8,0,0,0,
ULSS 2 - Ospedale Montebelluna,0,0,51,12,0,0,0,
Ospedale S. Camillo-Treviso °,0,0,52,4,0,0,0,
Ospedale Riabilitativo  Motta di Livenza - Treviso,0,0,2,0,0,0,0,
Casa di Cura Giovanni XXIII Monastier -TV,0,0,1,0,0,0,0,
ULSS 3 - Ospedale Mestre,1,0,75,41,+1),0,0,
ULSS 3 - Ospedale Venezia,0,0,28,15,0,0,0,
ULSS 3 - Ospedale Mirano,0,0,8,10,0,0,0,
ULSS 3 - Ospedale Dolo °,30,5,127,108,-2,0,+2),
ULSS 3 - Ospedale Chioggia,0,0,2,3,0,0,0,
ULSS 3 - Ospedale di Noale,0,0,0,4,0,0,0,
Ospedale Villa Salus (VE)°,22,0,103,13,-1,0,0,
Casa di cura San Marco - Mestre (VE),0,0,0,0,0,0,0,
ULSS 4 - Ospedale Jesolo °,6,0,98,29,0,0,0,
ULSS 4 - Ospedale Portogruaro,0,0,0,1,0,0,0,
Casa di Cura Rizzola,0,0,15,1,0,0,0,
