,,,,,,,
"Raggruppamenti sulla base del domicilio del
soggetto positivo SARS-CoV-2","TOTALE CASI
con tampone
positivo -dato
cumulativo","Δ Totale casi
positivi","Casi
attualmente
positivi","Deceduti (in
ospedale +
extra-
ospedale) -
dato
cumulativo","Negativizzati
virologici -
dato
cumulativo",,"Soggetti in
ISOLAMENTO
DOMICILIARE
(dato del 21.05
ore 20.00)"
Padova (escluso domiciliati Vo'),3839,+1),224,271,3344,,218
Cluster domiciliati Comune di Vò,88,0,1,3,84,,
Treviso,2654,+3),539,308,1807,540,
Venezia,2649,+1),230,278,2141,449,
Verona,5063,0,962,539,3562,882,
Vicenza,2832,0,543,311,1978,403,
Belluno,1153,0,229,105,819,482,
Rovigo,441,0,61,34,346,158,
Domicilio fuori Veneto,311,+1),132,13,166,,
Assegnazione in corso,33,-2,33,0,0,,
Struttura di ricovero,"Pazienti
attualmente
positivi in AREA
NON CRITICA","Pazienti
attualmente
positivi in
TERAPIA
INTENSIVA","dimessi dal 21.2
^","decessi dal
21.2*^",,"Δ pazienti
attualmente
positivi  in area
non critica","Δ  pazienti
attualmente
positivi in Ter Int",Δ decessi
Azienda Ospedale Università Padova,8,1,311,65,,0,0,0
Ospedale Sant'Antonio,0,0,0,1,0,0,0,
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Roma",5,0,213,113,0,0,0,
"Azienda Ospedaliera Universitaria Integrata di
Verona - Borgo Trento",2,1,82,34,0,0,0,
ULSS 1 - Ospedale Belluno,8,0,89,52,+1),0,0,
ULSS 1 - Ospedale Feltre,0,0,12,6,0,0,0,
ULSS 2 - Ospedale Treviso,4,0,218,109,0,0,0,
ULSS 2 - Ospedale Oderzo,0,0,20,21,0,0,0,
ULSS 2 - Ospedale Conegliano,0,0,18,21,0,0,0,
ULSS 2 - Ospedale Vittorio Veneto °,8,0,202,35,-1,0,0,
ULSS 2 - Ospedale Castelfranco,0,0,40,8,0,0,0,
ULSS 2 - Ospedale Montebelluna,0,0,52,12,0,0,0,
Ospedale S. Camillo-Treviso °,0,0,52,4,0,0,0,
Ospedale Riabilitativo  Motta di Livenza - Treviso,0,0,2,0,0,0,0,
Casa di Cura Giovanni XXIII Monastier -TV,0,0,1,0,0,0,0,
ULSS 3 - Ospedale Mestre,1,0,75,41,+1),0,0,
ULSS 3 - Ospedale Venezia,0,0,28,15,0,0,0,
ULSS 3 - Ospedale Mirano,0,0,7,10,0,0,0,
ULSS 3 - Ospedale Dolo °,21,4,133,108,0,0,0,
ULSS 3 - Ospedale Chioggia,0,0,2,3,0,0,0,
ULSS 3 - Ospedale di Noale,0,0,0,4,0,0,0,
Ospedale Villa Salus (VE)°,22,0,108,14,0,0,0,
Casa di cura San Marco - Mestre (VE),0,0,0,0,0,0,0,
ULSS 4 - Ospedale Jesolo °,5,0,100,29,0,0,0,
ULSS 4 - Ospedale Portogruaro,0,0,0,1,0,0,0,
Casa di Cura Rizzola,0,0,15,1,0,0,0,
ULSS 5 - Ospedale Rovigo,1,0,27,5,0,0,0,
ULSS 5 - Ospedale Trecenta °,6,0,39,26,0,0,0,
ULSS 5 - Ospedale Adria,0,0,5,0,0,0,0,
ULSS 6 - Ospedale Schiavonia °,16,1,270,104,-1,0,0,
ULSS 6 - Ospedale Piove di Sacco,0,0,2,0,0,0,0,
ULSS 6 - Ospedale Cittadella,0,0,2,7,0,0,0,
ULSS 6 - Ospedale Camposampiero,2,0,3,7,0,0,0,
ULSS 6 - Ospedale Conselve,0,0,0,0,0,0,0,
Casa di cura Villa Maria (PD),0,0,1,0,0,0,0,
ULSS 7 - Ospedale Santorso °,16,0,249,87,-2,0,+5),
ULSS 7 - Ospedale Bassano,0,0,20,13,0,0,0,
ULSS 7 - Ospedale Asiago,0,0,8,11,0,0,0,
ULSS 8 - Ospedale Vicenza,20,1,139,101,0,0,0,
ULSS 8 - Ospedale Noventa Vicentina,0,0,58,2,0,0,0,
ULSS 8 - Ospedale Arzignano,0,0,0,1,0,0,0,
ULSS 8 - Ospedale Valdagno,0,0,23,5,0,0,0,
ULSS 9 - Ospedale Legnago,0,1,69,49,0,0,0,
ULSS 9 - Ospedale San Bonifacio,2,0,30,26,-1,0,0,
ULSS 9 - Ospedale Villafranca °,26,1,185,111,-4,0,+1),
ULSS 9 - Ospedale Marzana,5,0,50,8,0,0,0,
ULSS 9 - Ospedale Bussolengo,18,0,57,3,0,0,0,
ULSS 9 - Ospedale San Biagio di Bovolone,0,0,0,0,0,0,0,
Ospedale Sacro Cuore Don Calabria-Negrar,5,1,139,36,-1,0,0,
Ospedale P. Pederzoli-Peschiera,6,1,99,38,0,0,0,
Istituto Oncologico Veneto,0,0,2,1,0,0,0,
Struttura di ricovero,"Pazienti
attualmente
positivi",dimessi dal 21.2^,"decessi dal 21.2
*^",,"Δ paz.
attualmente
positivi",Δ decessi,
Ospedale di Comunità Belluno (BL),8,28,17,,0,0,
Ospedale di Comunità  Agordo (BL),8,28,1,-1,0,,
Ospedale di Comunità- Auronzo (BL),0,0,0,0,0,,
Ospedale di Comunità Alano di Piave (BL),0,0,0,0,0,,
Ospedale di Comunità di Castelfranco  (TV),0,5,0,0,0,,
Struttura COVID - Vedelago (TV),1,47,4,0,0,,
Struttura COVID - Ormelle (TV),0,24,4,0,0,,
Ospedale di Comunità Vittorio Veneto (TV),14,39,2,+3),0,,
Ospedale di Comunità SS. Giovanni e Paolo (VE),0,0,0,0,0,,
Ospedale di Comunità Casa di Cura Rizzola (VE),0,11,1,0,0,,
Ospedale di Cinto Caomaggiore (VE),1,0,0,0,0,,
Ospedale di Comunità Villa Maria (PD),1,38,1,0,0,,
Ospedale di Comunità Conselve (PD),0,0,0,0,0,,
Ospedale di Comunità Camposampiero (PD),3,21,1,0,0,,
Ospedale di Comunità Montagnana (PD),0,0,0,0,0,,
Ospedale di Comunità Marostica (VI),6,17,6,0,0,,
Ospedale di Comunità Valeggio sul Mincio,0,0,0,0,0,,
