"Raggruppamenti sulla base del domicilio delsoggetto positivo SARS-CoV-2","TOTALE CASIcon tamponepositivo -datocumulativo","Δ Totale casipositivi","Casiattualmentepositivi","Deceduti (inospedale +extra-ospedale) -datocumulativo","Negativizzativirologici -datocumulativo",,"Soggetti inISOLAMENTODOMICILIARE(dato del 3.06ore 20.00)"
Padova (escluso domiciliati Vo'),3844,0,65,288,3491,,148
Cluster domiciliati Comune di Vò,88,0,1,3,84,,
Treviso,2661,+2),271,314,2076,204,
Venezia,2666,-1,127,288,2251,182,
Verona,5102,+1),385,561,4156,330,
Vicenza,2848,0,203,325,2320,131,
Belluno,1175,0,91,110,974,151,
Rovigo,442,0,10,34,398,79,
Domicilio fuori Veneto,316,0,118,15,183,,
Assegnazione in corso,28,0,27,0,1,,
CASI RICOVERATI IN OSPEDALI PER ACUTI,,,,,,,,
Struttura di ricovero,"Pazientiattualmentepositivi in AREANON CRITICA","Pazientiattualmentepositivi inTERAPIAINTENSIVA","dimessi dal 21.2^","decessi dal21.2*^",,"Δ pazientiattualmentepositivi  in areanon critica","Δ  pazientiattualmentepositivi in Ter Int",Δ decessi
Azienda Ospedale Università Padova,3,0,315,68,,0,0,0
Ospedale Sant'Antonio,0,0,0,1,0,0,0,
"Azienda Ospedaliera Universitaria Integrata diVerona - Borgo Roma",2,0,218,114,0,0,0,
"Azienda Ospedaliera Universitaria Integrata diVerona - Borgo Trento",0,1,87,34,0,0,0,
ULSS 1 - Ospedale Belluno,4,0,101,53,0,0,0,
ULSS 1 - Ospedale Feltre,0,0,12,6,0,0,0,
ULSS 1 - Ospedale Agordo,0,0,1,0,0,0,0,
ULSS 2 - Ospedale Treviso,1,0,223,110,0,0,0,
ULSS 2 - Ospedale Oderzo,0,0,20,21,0,0,0,
ULSS 2 - Ospedale Conegliano,0,0,18,21,0,0,0,
ULSS 2 - Ospedale Vittorio Veneto °,4,0,213,39,0,0,0,
ULSS 2 - Ospedale Castelfranco,0,0,40,8,0,0,0,
ULSS 2 - Ospedale Montebelluna,0,0,53,12,0,0,0,
Ospedale S. Camillo-Treviso °,0,0,53,4,0,0,0,
Ospedale Riabilitativo  Motta di Livenza - Treviso,0,0,5,0,0,0,0,
Casa di Cura Giovanni XXIII Monastier -TV,0,0,1,0,0,0,0,
ULSS 3 - Ospedale Mestre,0,0,77,41,0,0,0,
ULSS 3 - Ospedale Venezia,0,0,29,15,0,0,0,
ULSS 3 - Ospedale Mirano,0,0,8,10,0,0,0,
ULSS 3 - Ospedale Dolo °,7,0,140,114,0,0,0,
ULSS 3 - Ospedale Chioggia,0,0,4,3,0,0,0,
ULSS 3 - Ospedale di Noale,0,0,0,4,0,0,0,
Ospedale Villa Salus (VE)°,16,0,118,14,0,0,0,
Casa di cura San Marco - Mestre (VE),0,0,0,0,0,0,0,
ULSS 4 - Ospedale Jesolo °,0,0,107,30,0,0,0,
ULSS 4 - Ospedale Portogruaro,0,0,0,1,0,0,0,
Casa di Cura Rizzola,0,0,15,1,0,0,0,
ULSS 5 - Ospedale Rovigo,0,0,28,5,0,0,0,
ULSS 5 - Ospedale Trecenta °,0,0,47,26,0,0,0,
ULSS 5 - Ospedale Adria,0,0,5,0,0,0,0,
ULSS 6 - Ospedale Schiavonia °,5,1,276,109,0,0,0,
ULSS 6 - Ospedale Piove di Sacco,0,0,2,0,0,0,0,
ULSS 6 - Ospedale Cittadella,2,0,2,7,0,0,0,
ULSS 6 - Ospedale Camposampiero,1,0,3,7,0,0,0,
ULSS 6 - Ospedale Conselve,0,0,0,0,0,0,0,
Casa di cura Villa Maria (PD),0,0,1,0,0,0,0,
ULSS 7 - Ospedale Santorso °,6,0,260,91,+1),0,0,
ULSS 7 - Ospedale Bassano,0,0,21,13,0,0,0,
ULSS 7 - Ospedale Asiago,0,0,8,12,0,0,0,
ULSS 8 - Ospedale Vicenza,16,0,149,103,0,0,0,
ULSS 8 - Ospedale Noventa Vicentina,0,0,58,2,0,0,0,
ULSS 8 - Ospedale Arzignano,0,0,0,1,0,0,0,
ULSS 8 - Ospedale Valdagno,0,0,23,5,0,0,0,
ULSS 9 - Ospedale Legnago,0,0,74,51,0,0,0,
ULSS 9 - Ospedale San Bonifacio,1,0,33,26,0,0,0,
ULSS 9 - Ospedale Villafranca °,15,0,191,114,-1,0,+1),
ULSS 9 - Ospedale Marzana,2,0,55,8,0,0,0,
ULSS 9 - Ospedale Bussolengo,8,0,68,6,+2),0,+1),
ULSS 9 - Ospedale San Biagio di Bovolone,0,0,2,0,0,0,0,
ULSS 9 - Ospedale Malcesine,0,0,0,0,0,0,0,
Ospedale Sacro Cuore Don Calabria-Negrar,2,0,145,38,0,0,0,
Ospedale P. Pederzoli-Peschiera,1,0,102,40,-3,0,+2),
Casa di cura Villa Garda (VR),0,0,0,0,0,0,0,
Istituto Oncologico Veneto,0,0,2,1,0,0,0,
Struttura di ricovero,"Pazientiattualmentepositivi",dimessi dal 21.2^,"decessi dal 21.2*^",,"Δ paz.attualmentepositivi",Δ decessi
Ospedale di Comunità Belluno (BL),0,35,17,,0,0
Ospedale di Comunità  Agordo (BL),0,32,1,0,0,
Ospedale di Comunità- Auronzo (BL),0,0,0,0,0,
Ospedale di Comunità Alano di Piave (BL),0,0,0,0,0,
Ospedale di Comunità di Castelfranco  (TV),0,5,0,0,0,
Struttura COVID - Vedelago (TV),0,54,4,0,0,
Struttura COVID - Ormelle (TV),0,24,4,0,0,
Ospedale di Comunità Vittorio Veneto (TV),2,50,2,0,0,
Ospedale di Comunità SS. Giovanni e Paolo (VE),0,0,0,0,0,
Ospedale di Comunità Casa di Cura Rizzola (VE),0,11,1,0,0,
Ospedale di Cinto Caomaggiore (VE),1,0,0,0,0,
Ospedale di Comunità Civitas vitae (PD),0,0,0,0,0,
Ospedale di Comunità Villa Maria (PD),0,40,1,0,0,
