CASI SARS-CoV-2 POSITIVI,,,,,,,
"Raggruppamenti sulla base del domicilio delsoggetto positivo SARS-CoV-2","TOTALE CASIcon tamponepositivo -datocumulativo","Δ Totale casipositivi","Casiattualmentepositivi","Deceduti (inospedale +extra-ospedale) -datocumulativo","Negativizzativirologici -datocumulativo",,"Soggetti inISOLAMENTODOMICILIARE(dato del 08.07ore 20.00)"
Padova (escluso domiciliati Vo'),3887,+4),66,309,3512,,75
Cluster domiciliati Comune di Vò,88,0,0,5,83,,
Treviso,2692,+1),57,326,2309,209,
Venezia,2692,+1),27,302,2363,207,
Verona,5132,+1),38,577,4517,366,
Vicenza,2874,0,46,354,2474,62,
Belluno,1197,0,21,113,1063,129,
Rovigo,445,+1),2,36,407,62,
Domicilio fuori Veneto,330,-1,116,15,199,,
Assegnazione in corso,21,0,19,0,2,,
"",,,,,,,,
Struttura di ricovero,"Pazientiattualmentepositivi in AREANON CRITICA","Pazientiattualmentepositivi inTERAPIAINTENSIVA","dimessi dal 21.2^","decessi dal21.2*^",,"Δ pazientiattualmentepositivi  in areanon critica","Δ  pazientiattualmentepositivi in Ter Int",Δ decessi
Azienda Ospedale Università Padova,6,1,342,72,,0,0,+1)
Ospedale Sant'Antonio,0,0,0,1,0,0,0,
"Azienda Ospedaliera Universitaria Integrata diVerona - Borgo Roma",0,0,223,115,0,0,0,
"Azienda Ospedaliera Universitaria Integrata diVerona - Borgo Trento",0,0,93,35,0,0,0,
ULSS 1 - Ospedale Belluno,2,0,112,54,0,0,0,
ULSS 1 - Ospedale Feltre,0,0,12,6,0,0,0,
ULSS 1 - Ospedale Agordo,0,0,1,0,0,0,0,
ULSS 2 - Ospedale Treviso,1,0,231,113,0,0,0,
ULSS 2 - Ospedale Oderzo,0,0,20,22,0,0,0,
ULSS 2 - Ospedale Conegliano,0,0,18,21,0,0,0,
ULSS 2 - Ospedale Vittorio Veneto °,0,0,220,40,0,0,0,
ULSS 2 - Ospedale Castelfranco,0,0,40,8,0,0,0,
ULSS 2 - Ospedale Montebelluna,0,0,55,12,0,0,0,
Ospedale S. Camillo-Treviso °,0,0,54,4,0,0,0,
Ospedale Riabilitativo  Motta di Livenza - Treviso,0,0,10,0,0,0,0,
Casa di Cura Giovanni XXIII Monastier -TV,0,0,1,0,0,0,0,
ULSS 3 - Ospedale Mestre,0,0,77,43,0,0,0,
ULSS 3 - Ospedale Venezia,0,0,29,15,0,0,0,
ULSS 3 - Ospedale Mirano,0,0,8,10,0,0,0,
ULSS 3 - Ospedale Dolo °,2,0,157,119,0,0,0,
ULSS 3 - Ospedale Chioggia,0,0,5,3,0,0,0,
ULSS 3 - Ospedale di Noale,0,0,0,4,0,0,0,
Ospedale Villa Salus (VE)°,0,0,137,15,0,0,0,
Casa di cura San Marco - Mestre (VE),0,0,0,0,0,0,0,
OSP.  Fatebenefratelli (Venezia),0,0,0,0,0,0,0,
ULSS 4 - Ospedale Jesolo °,0,0,108,30,0,0,0,
ULSS 4 - Ospedale Portogruaro,0,0,0,1,0,0,0,
Casa di Cura Rizzola,0,0,14,1,0,0,0,
ULSS 5 - Ospedale Rovigo,0,0,29,6,0,0,0,
ULSS 5 - Ospedale Trecenta °,0,0,49,27,0,0,0,
ULSS 5 - Ospedale Adria,0,0,7,0,0,0,0,
ULSS 6 - Ospedale Schiavonia °,0,0,285,114,0,0,0,
ULSS 6 - Ospedale Piove di Sacco,0,0,4,0,0,0,0,
ULSS 6 - Ospedale Cittadella,0,0,2,9,0,0,0,
ULSS 6 - Ospedale Camposampiero,0,0,8,10,0,0,0,
ULSS 6 - Ospedale Conselve,0,0,2,0,0,0,0,
Casa di cura Villa Maria (PD),0,0,3,0,0,0,0,
ULSS 7 - Ospedale Santorso °,0,0,265,94,0,0,0,
ULSS 7 - Ospedale Bassano,0,0,21,13,0,0,0,
ULSS 7 - Ospedale Asiago,0,0,10,12,0,0,0,
ULSS 8 - Ospedale Vicenza,2,1,175,104,0,0,0,
ULSS 8 - Ospedale Noventa Vicentina,0,0,60,2,0,0,0,
ULSS 8 - Ospedale Arzignano,0,0,1,1,0,0,0,
